,Unnamed: 0,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,total,user-requirement,infovis,novelty_score,exploration,Group,len_unique,added_sum
0,1,wilson911013,1,0.0,3,250.84,wilson911013,0.0,1.0,2.0,1.0,1.0,90.83,20.0,33.33,0.0,0.0,3.0,0.0,0.0
2,5,lizzyt10h,1,0.4,3,175.0,lizzyt10h,2.0,1.0,5.0,2.0,7.0,75.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
3,6,AFelipeGA,1,0.4,3,291.67,AFelipeGA,4.0,3.0,5.0,2.0,3.0,152.5,40.0,37.5,0.0,0.0,3.0,4.0,0.0
4,7,wapiravaguens,1,0.4,3,90.0,wapiravaguens,0.0,1.0,4.0,2.0,1.0,192.5,80.0,50.0,0.0,0.0,3.0,4.0,0.0
5,8,capinzor,1,0.413793103448276,3,221.67,capinzor,0.0,0.0,2.0,2.0,0.0,120.0,20.0,25.0,0.0,0.0,3.0,20.0,0.0
6,9,lacardenasv,1,0.424657534246575,3,142.5,lacardenasv,1.0,2.0,5.0,4.0,2.0,264.17,60.0,54.17,87.5,0.7586206896551720,3.0,57.0,43.0
7,10,ncampuzano,1,0.428571428571429,3,237.5,ncampuzano,1.0,3.0,4.0,2.0,13.0,124.17,20.0,29.17,25.0,0.0714285714285714,3.0,41.0,2.0
8,11,afforeroc,1,0.428571428571429,3,263.34,afforeroc,1.0,4.0,3.0,2.0,0.0,103.33,20.0,33.33,0.0,0.0,3.0,7.0,0.0
9,12,adriel62,1,0.431372549019608,3,225.84,adriel62,1.0,3.0,5.0,2.0,2.0,203.33,20.0,33.33,62.5,0.75,3.0,40.0,30.0
10,13,spenas,1,0.444444444444444,3,200.84,spenas,5.0,4.0,6.0,1.0,1.0,115.83,20.0,33.33,0.0,0.8518518518518520,3.0,22.0,18.0
11,14,Chranium,1,0.5,3,284.17,Chranium,4.0,5.0,6.0,2.0,0.0,107.5,20.0,25.0,0.0,0.0,3.0,5.0,0.0
12,15,macuestap,1,0.545454545454545,3,160.42,macuestap,0.0,1.0,4.0,1.0,3.0,145.0,20.0,37.5,25.0,0.75,3.0,16.0,8.0
13,16,ofnanezn,1,0.590909090909091,3,316.67,ofnanezn,0.0,1.0,6.0,2.0,1.0,132.5,20.0,37.5,25.0,0.6,3.0,15.0,9.0
14,17,dagofonseca,1,0.592592592592593,3,271.67,dagofonseca,0.0,0.0,2.0,2.0,1.0,190.0,40.0,25.0,75.0,0.26086956521739100,3.0,19.0,2.0
15,18,davidh17,1,0.616438356164384,3,173.34,davidh17,3.0,3.0,5.0,3.0,0.0,245.83,100.0,58.33,25.0,0.627906976744186,3.0,43.0,27.0
16,19,DianaNavarrete,1,0.625,3,229.17,DianaNavarrete,0.0,1.0,5.0,2.0,1.0,128.33,20.0,58.33,0.0,0.5555555555555560,3.0,7.0,3.0
17,20,jumcorredorro,1,0.625,3,143.34,jumcorredorro,1.0,1.0,5.0,2.0,2.0,309.17,80.0,54.17,87.5,0.15384615384615400,3.0,39.0,6.0
18,21,lgmoralesa,1,0.630434782608696,3,192.5,lgmoralesa,2.0,2.0,4.0,3.0,5.0,268.33,60.0,58.33,62.5,0.4666666666666670,3.0,43.0,19.0
19,22,dduartec,1,0.666666666666667,3,287.5,dduartec,1.0,5.0,4.0,1.0,1.0,333.33,100.0,70.83,75.0,0.5128205128205130,3.0,39.0,20.0
20,23,smarquezo,1,0.666666666666667,3,230.0,smarquezo,0.0,0.0,2.0,0.0,1.0,111.67,20.0,29.17,0.0,0.5,3.0,4.0,2.0
21,24,juclopezso,1,0.666666666666667,3,259.17,juclopezso,1.0,3.0,3.0,2.0,1.0,111.67,20.0,29.17,0.0,0.8387096774193550,3.0,6.0,1.0
