,Student,Group,added_sum,phase
64,fevargasmo,1.0,[],1
65,jmhurtadoc,1.0,"['xmlhttp.responseText', 'infowindow.setContent', 'xmlhttp.send', 'key.toString', '.slice', 'custommobile.css', 'String.prototype.capitalizeFirstLetter', 'js.org', '.js', 'washedData.length', 'xmlhttp.open', '.min.js', 'boundBox.getNorthEast', '.v', 'str.indexOf', 'xmlhttp.status', '.capitalizeFirstLetter', 'washedData.push', 'json.data', 'northEast.lat', 'json.data.length', 'google.maps.ElevationService', '.toUpperCase', 'boundBox.getSouthWest', 'southWest.lat', 'southWest.lng', 'value.setMap', '.display', 'arr.length', 'Math.random', 'freelancer.css', 'this.slice', '.innerHTML', 'google.maps.LatLng', 'JSON.parse', 'd.getDay', 'data.cityofchicago.org', 'locations.push', 'rows.json', 'dataLine.push', 'google.maps.ElevationStatus.OK', 'google.maps.InfoWindow', '.url', 'RadarChart.draw', 'infowindow.close', 'this.charAt', 'google.maps.event.addListener', 'elevator.getElevationForLocations', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'northEast.lng', '.each', 'infowindow.open', 'google.maps.Marker', 'map.getBounds']",1
66,anfmorenoso,1.0,[],1
67,nabautistal,1.0,[],1
68,crigar,1.0,"['style.css', 'google.maps.LatLng', '.jpg', 'document.getElementById', 'page.php', 'google.maps.Map']",1
69,jiapulidoar,1.0,[],1
70,jsviveroj,1.0,[],1
71,daandradec,1.0,"['xmlhttp.responseText', 'xmlhttp.send', '.getTitle', 'map.panTo', 'xmlhttp.open', '.getPosition', 'google.maps.event.trigger', 'xmlhttp.status', '.main', 'api.openweathermap.org', '.coord.lon', 'JSON.parse', 'locations.push', '.indexOf', 'json.weather', 'markers.length', '.toLowerCase', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', '.value.toLowerCase', 'bootstrap.min.js']",1
72,jcrubioa,1.0,"['xmlhttp.responseText', 'infowindow.setContent', 'xmlhttp.send', 'String.prototype.capitalizeFirstLetter', 'select.min.js', 'animations.js', 'google.maps.Animation.DROP', '.ready', 'markerUniversity.getPosition', 'washedData.length', 'xmlhttp.open', '.getPosition', 'boundBox.getNorthEast', 'map.setCenter', '.slideToggle', 'xmlhttp.status', 'washedData.push', 'json.data', 'northEast.lat', 'json.data.length', 'google.maps.ElevationService', '.toUpperCase', '.addListener', 'boundBox.getSouthWest', 'southWest.lat', 'southWest.lng', 'value.setMap', 'select.min.css', 'Math.random', 'markerUniversity.addListener', 'this.slice', 'google.maps.LatLng', 'map.setZoom', 'JSON.parse', 'data.cityofchicago.org', 'locations.push', 'rows.json', 'dataLine.push', 'google.maps.ElevationStatus.OK', 'google.maps.InfoWindow', '.click', 'infowindow.close', 'this.charAt', 'google.maps.event.addListener', 'elevator.getElevationForLocations', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'northEast.lng', '.each', 'infowindow.open', 'google.maps.Marker', 'map.getBounds', '.value']",1
73,joahernandezca,1.0,[],1
74,ItsNavi,1.0,"['.min.js', 'favicon.ico', 'document.getElementById', 'document.write', 'fluidbox.min.css', 'jquery.min.js', '.fluidbox', 'main.js', 'window.jQuery', 'main.css', '.ready', 'jquery.fluidbox.min.js', '.addClass', 'google.maps.Map']",1
