,user2,group,phase,exploration,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,abs_perform_diff_best
304,ivdgonzalezco,1,5,0.05555555555555558,1.0,4.0,4.0,2.0,1.0,185.0
305,maikellPardo,1,5,0.0,4.0,4.0,4.0,2.0,0.0,275.0
306,Christian7sr,1,5,0.76,3.0,3.0,3.0,2.0,5.0,225.82999999999998
307,jsnarvaezb,1,5,0.0,0.0,1.0,3.0,2.0,0.0,105.83000000000001
308,gfalbarracinr,1,5,0.5135135135135135,1.0,1.0,5.0,2.0,1.0,300.0
309,aldiazve,1,5,0.0006644518272425071,0.0,3.0,6.0,3.0,3.0,90.0
310,diegoaguevarar,1,5,0.37341772151898733,0.0,1.0,5.0,2.0,2.0,37.5
311,fevargasmo,1,5,0.051724137931034475,2.0,3.0,4.0,4.0,2.0,101.66999999999999
312,jmhurtadoc,1,5,0.0,6.0,6.0,6.0,2.0,0.0,233.32999999999998
313,anfmorenoso,1,5,0.6341463414634146,0.0,2.0,5.0,2.0,1.0,171.67
314,nabautistal,1,5,0.8431372549019608,0.0,0.0,3.0,1.0,1.0,259.17
315,crigar,1,5,0.0,1.0,0.0,2.0,4.0,0.0,242.5
316,jiapulidoar,1,5,0.06343283582089554,4.0,4.0,5.0,2.0,2.0,72.5
317,jsviveroj,1,5,0.0625,1.0,3.0,4.0,2.0,2.0,69.17000000000002
318,daandradec,1,5,0.0,2.0,2.0,6.0,2.0,3.0,31.25
319,jcrubioa,1,5,0.0,0.0,0.0,5.0,2.0,0.0,134.17
320,joahernandezca,1,5,0.0,1.0,1.0,0.0,0.0,0.0,217.5
321,ItsNavi,1,5,0.0,1.0,2.0,5.0,2.0,0.0,350.0
322,Zeugmax,1,5,0.0,1.0,3.0,5.0,2.0,0.0,350.0
323,JairVillalba,1,5,0.4,1.0,1.0,3.0,2.0,6.0,287.5
324,jusherrerama,2,2,0.0,,,,,0.0,177.5
325,bdvegat,2,2,0.0,1.0,2.0,4.0,1.0,0.0,260.0
326,Phoenixest,2,2,0.0,0.0,1.0,3.0,1.0,0.0,185.82999999999998
327,HashNick,2,2,0.10169491525423724,1.0,3.0,5.0,3.0,0.0,260.0
328,ccvacad,2,2,0.0,1.0,0.0,4.0,2.0,0.0,260.0
329,joaortizro,2,2,0.5,0.0,2.0,2.0,1.0,1.0,152.5
330,juasmartinezbel,2,2,0.3362068965517241,0.0,5.0,5.0,2.0,1.0,8.330000000000013
331,mdbelloc,2,2,0.0,1.0,3.0,2.0,2.0,1.0,168.32999999999998
332,diegocruz10,2,2,0.03703703703703709,3.0,3.0,3.0,1.0,1.0,169.17000000000002
333,crarojasca,2,2,0.0,1.0,3.0,5.0,2.0,0.0,215.0
334,sagilm,2,2,0.4,0.0,0.0,3.0,1.0,1.0,210.0
335,idrojasf,2,2,0.0,1.0,1.0,4.0,4.0,2.0,52.5
336,raulramirezp,2,2,0.9870967741935484,1.0,2.0,5.0,2.0,2.0,260.0
337,fabianr23,2,2,0.5833333333333333,5.0,4.0,5.0,2.0,2.0,55.0
338,jhriverasa,2,2,0.20833333333333337,1.0,3.0,2.0,2.0,1.0,117.08000000000001
339,jhonsd1996,2,2,0.6,3.0,4.0,4.0,2.0,1.0,160.0
340,JuanitoAli,2,2,0.9930283224400871,1.0,1.0,5.0,2.0,4.0,160.0
341,Davsatu313,2,2,0.7586206896551724,0.0,3.0,5.0,2.0,2.0,52.5
342,cesarochoa2006,2,2,0.765625,0.0,1.0,6.0,0.0,4.0,173.32999999999998
343,jjmuesesq,2,2,0.0,0.0,3.0,2.0,2.0,1.0,177.5
344,jucjimenezmo,2,2,1.0,0.0,0.0,3.0,2.0,1.0,247.5
345,kancas,2,2,0.4285714285714286,0.0,0.0,5.0,2.0,1.0,222.5
346,Gantiva,2,2,0.631578947368421,2.0,4.0,3.0,2.0,1.0,144.17000000000002
347,Dandarprox,2,2,0.27450980392156865,0.0,1.0,4.0,2.0,1.0,154.57999999999998
348,debeltranc,2,2,0.5681818181818181,1.0,4.0,4.0,1.0,9.0,97.5
349,ykchautai,2,2,0.625,4.0,4.0,4.0,1.0,1.0,98.33000000000001
350,ligibrial,2,2,0.9933598937583001,1.0,5.0,3.0,2.0,2.0,126.66999999999999
351,davidrh195,2,2,0.2941176470588235,3.0,3.0,5.0,1.0,2.0,260.0
352,JulianaNino,2,2,0.56,1.0,1.0,3.0,1.0,1.0,205.82999999999998
353,luegilca,2,2,0.0,0.0,1.0,6.0,2.0,0.0,130.83
354,Yelis3,2,2,0.2831084457771115,1.0,4.0,6.0,3.0,1.0,28.330000000000013
355,begarzonf,2,2,0.9714285714285714,2.0,3.0,4.0,2.0,1.0,102.5
356,kmendezp96,2,2,0.0,1.0,5.0,6.0,1.0,1.0,74.16999999999999
357,leguzman,2,2,0.8059701492537313,0.0,2.0,5.0,2.0,8.0,106.66999999999999
358,luealfonsoru,2,2,0.6666666666666667,3.0,4.0,4.0,2.0,9.0,105.83000000000001
359,oserasoa,2,2,0.4,4.0,3.0,3.0,1.0,1.0,205.82999999999998
360,lsfinite,2,2,0.9985549132947977,1.0,1.0,6.0,3.0,6.0,197.5
361,xdanielsb,2,2,0.13829787234042556,3.0,3.0,3.0,2.0,0.0,0.0
362,CSebasGomez,2,2,0.0,3.0,3.0,5.0,2.0,0.0,260.0
363,jhcardenasa,2,2,0.0,4.0,4.0,5.0,3.0,0.0,260.0
364,jscontrerasp,2,2,0.7727272727272727,1.0,1.0,4.0,0.0,2.0,260.0
365,jusherrerama,2,3,0.9929234851835471,,,,,1.0,168.33
366,bdvegat,2,3,0.6363636363636364,1.0,2.0,4.0,1.0,2.0,235.0
367,Phoenixest,2,3,0.0,0.0,1.0,3.0,1.0,0.0,218.32999999999998
368,HashNick,2,3,0.0,1.0,3.0,5.0,3.0,0.0,221.67000000000002
369,ccvacad,2,3,0.0,1.0,0.0,4.0,2.0,0.0,317.5
370,joaortizro,2,3,0.42105263157894735,0.0,2.0,2.0,1.0,1.0,61.670000000000016
371,juasmartinezbel,2,3,0.276595744680851,0.0,5.0,5.0,2.0,1.0,33.329999999999984
372,mdbelloc,2,3,0.0,1.0,3.0,2.0,2.0,0.0,205.0
373,diegocruz10,2,3,0.4418604651162791,3.0,3.0,3.0,1.0,1.0,201.67
374,crarojasca,2,3,0.0,1.0,3.0,5.0,2.0,0.0,272.5
375,sagilm,2,3,0.7619047619047619,0.0,0.0,3.0,1.0,1.0,259.17
376,idrojasf,2,3,0.0,1.0,1.0,4.0,4.0,1.0,161.67
377,raulramirezp,2,3,0.0,1.0,2.0,5.0,2.0,3.0,110.83000000000001
378,fabianr23,2,3,0.426829268292683,5.0,4.0,5.0,2.0,4.0,0.0
379,jhriverasa,2,3,0.11111111111111116,1.0,3.0,2.0,2.0,5.0,105.83000000000001
380,jhonsd1996,2,3,0.0,3.0,4.0,4.0,2.0,0.0,255.0
381,JuanitoAli,2,3,0.021030042918454894,1.0,1.0,5.0,2.0,11.0,45.829999999999984
382,Davsatu313,2,3,0.4576271186440678,0.0,3.0,5.0,2.0,1.0,93.33000000000001
383,cesarochoa2006,2,3,0.4181818181818182,0.0,1.0,6.0,0.0,4.0,74.16999999999999
384,jjmuesesq,2,3,0.0,0.0,3.0,2.0,2.0,1.0,143.33
385,jucjimenezmo,2,3,0.0,0.0,0.0,3.0,2.0,1.0,230.82999999999998
386,kancas,2,3,0.0,0.0,0.0,5.0,2.0,0.0,86.66999999999999
387,Gantiva,2,3,0.25531914893617025,2.0,4.0,3.0,2.0,3.0,196.67
388,Dandarprox,2,3,0.3589743589743589,0.0,1.0,4.0,2.0,1.0,194.17
389,debeltranc,2,3,0.0,1.0,4.0,4.0,1.0,1.0,255.0
390,ykchautai,2,3,0.34782608695652173,4.0,4.0,4.0,1.0,2.0,210.0
391,ligibrial,2,3,0.003530450132391838,1.0,5.0,3.0,2.0,2.0,221.67000000000002
392,davidrh195,2,3,0.0,3.0,3.0,5.0,1.0,3.0,210.0
393,JulianaNino,2,3,0.2647058823529411,1.0,1.0,3.0,1.0,1.0,238.32999999999998
394,luegilca,2,3,0.0,0.0,1.0,6.0,2.0,0.0,217.5
395,Yelis3,2,3,0.07088078085056937,1.0,4.0,6.0,3.0,4.0,118.33000000000001
396,begarzonf,2,3,0.02777777777777779,2.0,3.0,4.0,2.0,1.0,222.5
397,kmendezp96,2,3,0.06944444444444442,1.0,5.0,6.0,1.0,1.0,119.16999999999999
398,leguzman,2,3,0.3695652173913043,0.0,2.0,5.0,2.0,2.0,85.83000000000001
399,luealfonsoru,2,3,0.023809523809523836,3.0,4.0,4.0,2.0,1.0,192.5
400,oserasoa,2,3,0.276595744680851,4.0,3.0,3.0,1.0,2.0,234.17000000000002
401,lsfinite,2,3,0.0037037037037036535,1.0,1.0,6.0,3.0,7.0,230.0
402,xdanielsb,2,3,0.24186046511627912,3.0,3.0,3.0,2.0,0.0,242.5
403,CSebasGomez,2,3,0.0,3.0,3.0,5.0,2.0,0.0,317.5
404,jhcardenasa,2,3,0.0,4.0,4.0,5.0,3.0,0.0,317.5
405,jscontrerasp,2,3,0.48484848484848486,1.0,1.0,4.0,0.0,1.0,330.0
406,jusherrerama,2,4,0.0,,,,,0.0,238.32999999999998
407,bdvegat,2,4,0.0,1.0,2.0,4.0,1.0,0.0,263.33
408,Phoenixest,2,4,0.0,0.0,1.0,3.0,1.0,0.0,263.33
409,HashNick,2,4,0.10169491525423724,1.0,3.0,5.0,3.0,0.0,255.0
410,ccvacad,2,4,1.0,1.0,0.0,4.0,2.0,1.0,358.33
411,joaortizro,2,4,0.0,0.0,2.0,2.0,1.0,0.0,53.329999999999984
412,juasmartinezbel,2,4,0.3054187192118226,0.0,5.0,5.0,2.0,1.0,65.0
413,mdbelloc,2,4,0.0,1.0,3.0,2.0,2.0,0.0,224.99999999999997
414,diegocruz10,2,4,0.0,3.0,3.0,3.0,1.0,0.0,246.65999999999997
415,crarojasca,2,4,0.0,1.0,3.0,5.0,2.0,0.0,313.33
416,sagilm,2,4,0.0,0.0,0.0,3.0,1.0,1.0,212.49999999999997
417,idrojasf,2,4,0.00836120401337792,1.0,1.0,4.0,4.0,0.0,202.49999999999997
418,raulramirezp,2,4,0.4147286821705426,1.0,2.0,5.0,2.0,5.0,134.99999999999997
419,fabianr23,2,4,0.5775401069518716,5.0,4.0,5.0,2.0,3.0,0.0
420,jhriverasa,2,4,0.7032967032967032,1.0,3.0,2.0,2.0,10.0,45.829999999999984
421,jhonsd1996,2,4,0.0,3.0,4.0,4.0,2.0,0.0,204.99999999999997
422,JuanitoAli,2,4,0.06311881188118806,1.0,1.0,5.0,2.0,23.0,103.32999999999998
423,Davsatu313,2,4,0.6521739130434783,0.0,3.0,5.0,2.0,2.0,37.5
424,cesarochoa2006,2,4,0.5445544554455446,0.0,1.0,6.0,0.0,12.0,81.65999999999997
425,jjmuesesq,2,4,0.7857142857142857,0.0,3.0,2.0,2.0,2.0,279.15999999999997
426,jucjimenezmo,2,4,0.847457627118644,0.0,0.0,3.0,2.0,1.0,258.0
427,kancas,2,4,0.0,0.0,0.0,5.0,2.0,0.0,127.49999999999997
428,Gantiva,2,4,0.11764705882352944,2.0,4.0,3.0,2.0,1.0,129.16
429,Dandarprox,2,4,0.5819209039548023,0.0,1.0,4.0,2.0,2.0,222.49999999999997
430,debeltranc,2,4,0.0,1.0,4.0,4.0,1.0,1.0,258.33
431,ykchautai,2,4,0.08695652173913049,4.0,4.0,4.0,1.0,1.0,163.32999999999998
432,ligibrial,2,4,0.00044130626654903526,1.0,5.0,3.0,2.0,1.0,237.5
433,davidrh195,2,4,0.31818181818181823,3.0,3.0,5.0,1.0,0.0,250.82999999999998
434,JulianaNino,2,4,0.3142857142857143,1.0,1.0,3.0,1.0,1.0,234.15999999999997
435,luegilca,2,4,0.0,0.0,1.0,6.0,2.0,0.0,237.5
436,Yelis3,2,4,0.0276393294064341,1.0,4.0,6.0,3.0,3.0,90.0
437,begarzonf,2,4,0.0,2.0,3.0,4.0,2.0,0.0,184.16
438,kmendezp96,2,4,0.23404255319148937,1.0,5.0,6.0,1.0,1.0,122.49999999999997
439,leguzman,2,4,0.25688073394495414,0.0,2.0,5.0,2.0,4.0,208.32999999999998
440,luealfonsoru,2,4,0.03529411764705881,3.0,4.0,4.0,2.0,1.0,212.49999999999997
441,oserasoa,2,4,0.0,4.0,3.0,3.0,1.0,0.0,234.15999999999997
442,lsfinite,2,4,0.0016443987667009718,1.0,1.0,6.0,3.0,0.0,258.33
443,xdanielsb,2,4,0.21940928270042193,3.0,3.0,3.0,2.0,0.0,283.33
444,CSebasGomez,2,4,0.0,3.0,3.0,5.0,2.0,0.0,358.33
445,jhcardenasa,2,4,0.0,4.0,4.0,5.0,3.0,0.0,358.33
446,jscontrerasp,2,4,0.19354838709677424,1.0,1.0,4.0,0.0,1.0,358.33
447,jusherrerama,2,5,0.0,,,,,0.0,250.82999999999998
448,bdvegat,2,5,0.0,1.0,2.0,4.0,1.0,0.0,263.33
449,Phoenixest,2,5,0.0,0.0,1.0,3.0,1.0,0.0,263.33
450,HashNick,2,5,0.0,1.0,3.0,5.0,3.0,0.0,226.66
451,ccvacad,2,5,0.17045454545454541,1.0,0.0,4.0,2.0,1.0,358.33
452,joaortizro,2,5,0.0,0.0,2.0,2.0,1.0,0.0,78.32999999999998
453,juasmartinezbel,2,5,0.0,0.0,5.0,5.0,2.0,1.0,37.5
454,mdbelloc,2,5,0.0,1.0,3.0,2.0,2.0,0.0,229.16
455,diegocruz10,2,5,0.0,3.0,3.0,3.0,1.0,0.0,251.65999999999997
456,crarojasca,2,5,0.0,1.0,3.0,5.0,2.0,0.0,313.33
457,sagilm,2,5,0.45945945945945943,0.0,0.0,3.0,1.0,1.0,208.32999999999998
458,idrojasf,2,5,0.0,1.0,1.0,4.0,4.0,0.0,204.99999999999997
459,raulramirezp,2,5,0.14527027027027029,1.0,2.0,5.0,2.0,3.0,209.99999999999997
460,fabianr23,2,5,0.09523809523809523,5.0,4.0,5.0,2.0,2.0,0.0
461,jhriverasa,2,5,0.17525773195876293,1.0,3.0,2.0,2.0,15.0,25.0
462,jhonsd1996,2,5,0.0,3.0,4.0,4.0,2.0,0.0,200.82999999999998
463,JuanitoAli,2,5,0.0,1.0,1.0,5.0,2.0,0.0,33.329999999999984
464,Davsatu313,2,5,0.15555555555555556,0.0,3.0,5.0,2.0,1.0,57.5
465,cesarochoa2006,2,5,0.010752688172043001,0.0,1.0,6.0,0.0,1.0,74.37
466,jjmuesesq,2,5,0.4814814814814815,0.0,3.0,2.0,2.0,1.0,250.82999999999998
467,jucjimenezmo,2,5,0.078125,0.0,0.0,3.0,2.0,1.0,154.99999999999997
468,kancas,2,5,0.0,0.0,0.0,5.0,2.0,0.0,151.66
469,Gantiva,2,5,0.0,2.0,4.0,3.0,2.0,0.0,120.82999999999998
470,Dandarprox,2,5,0.0,0.0,1.0,4.0,2.0,0.0,144.99999999999997
471,debeltranc,2,5,0.5681818181818181,1.0,4.0,4.0,1.0,9.0,258.33
472,ykchautai,2,5,0.5,4.0,4.0,4.0,1.0,1.0,159.16
473,ligibrial,2,5,0.8525320970042796,1.0,5.0,3.0,2.0,3.0,250.0
474,davidrh195,2,5,0.0,3.0,3.0,5.0,1.0,0.0,250.82999999999998
475,JulianaNino,2,5,0.07692307692307687,1.0,1.0,3.0,1.0,1.0,234.15999999999997
476,luegilca,2,5,0.0,0.0,1.0,6.0,2.0,0.0,241.65999999999997
477,Yelis3,2,5,0.6320507399577167,1.0,4.0,6.0,3.0,7.0,124.16
478,begarzonf,2,5,0.0,2.0,3.0,4.0,2.0,0.0,143.32999999999998
479,kmendezp96,2,5,0.9615877080665813,1.0,5.0,6.0,1.0,3.0,151.66
480,leguzman,2,5,0.21259842519685035,0.0,2.0,5.0,2.0,4.0,68.32999999999998
481,luealfonsoru,2,5,0.0,3.0,4.0,4.0,2.0,0.0,220.82999999999998
482,oserasoa,2,5,0.18181818181818177,4.0,3.0,3.0,1.0,1.0,242.5
483,lsfinite,2,5,0.0,1.0,1.0,6.0,3.0,0.0,358.33
484,xdanielsb,2,5,0.5118279569892473,3.0,3.0,3.0,2.0,0.0,283.33
485,CSebasGomez,2,5,0.0,3.0,3.0,5.0,2.0,0.0,358.33
486,jhcardenasa,2,5,0.0,4.0,4.0,5.0,3.0,0.0,358.33
487,jscontrerasp,2,5,0.0,1.0,1.0,4.0,0.0,1.0,358.33
488,lemartinp,3,2,0.4666666666666667,0.0,0.0,4.0,1.0,2.0,270.84000000000003
489,juligarji,3,2,0.9051094890510949,4.0,4.0,5.0,3.0,3.0,167.50000000000003
490,nfmorenog,3,2,0.6590909090909092,0.0,2.0,3.0,1.0,1.0,225.0
491,AFelipeGA,3,2,0.9953746530989824,4.0,3.0,5.0,2.0,3.0,291.67
492,mballeng91,3,2,0.06818181818181823,2.0,6.0,6.0,2.0,1.0,329.17
493,dduartec,3,2,0.5128205128205128,1.0,5.0,4.0,1.0,1.0,287.5
494,srmedinac,3,2,0.9351851851851852,1.0,2.0,4.0,1.0,1.0,304.17
495,wilson911013,3,2,0.0,0.0,1.0,2.0,1.0,1.0,250.84000000000003
496,wapiravaguens,3,2,0.5671641791044777,0.0,1.0,4.0,2.0,1.0,90.00000000000003
497,davidh17,3,2,0.627906976744186,3.0,3.0,5.0,3.0,0.0,173.34
498,DianaNavarrete,3,2,0.5555555555555556,0.0,1.0,5.0,2.0,1.0,229.17000000000002
499,jdmonroyg,3,2,1.0,0.0,1.0,4.0,1.0,1.0,329.17
500,jorge52an,3,2,0.8103448275862069,4.0,4.0,5.0,2.0,0.0,230.0
501,jscastelblancoh,3,2,0.3529411764705882,0.0,0.0,3.0,2.0,0.0,127.50000000000003
502,juclopezso,3,2,0.8387096774193549,1.0,3.0,3.0,2.0,1.0,259.17
503,afforeroc,3,2,0.0,1.0,4.0,3.0,2.0,0.0,263.34000000000003
504,dagofonseca,3,2,0.26086956521739135,0.0,0.0,2.0,2.0,1.0,271.67
505,lacardenasv,3,2,0.6805555555555556,1.0,2.0,5.0,4.0,2.0,142.50000000000003
506,oacastillol,3,2,0.9203539823008849,2.0,1.0,5.0,1.0,1.0,237.5
507,ncampuzano,3,2,0.7608695652173914,1.0,3.0,4.0,2.0,13.0,237.5
508,adriel62,3,2,0.75,1.0,3.0,5.0,2.0,2.0,225.84000000000003
509,capinzor,3,2,0.0,0.0,0.0,2.0,2.0,0.0,221.67000000000002
510,ofnanezn,3,2,0.0,0.0,1.0,6.0,2.0,1.0,316.67
511,macuestap,3,2,0.75,0.0,1.0,4.0,1.0,3.0,160.42000000000002
512,spenas,3,2,0.8518518518518519,5.0,4.0,6.0,1.0,1.0,200.84
513,kgbayala528,3,2,0.0,1.0,5.0,6.0,2.0,1.0,221.67000000000002
514,lgmoralesa,3,2,0.4666666666666667,2.0,2.0,4.0,3.0,5.0,192.50000000000003
515,ronaldsg20,3,2,0.0,0.0,3.0,5.0,2.0,0.0,146.67000000000002
516,cccristanchoc,3,2,0.3584905660377359,1.0,1.0,4.0,1.0,1.0,255.0
517,jmalvarezd,3,2,0.41509433962264153,3.0,3.0,5.0,2.0,1.0,0.0
518,smarquezo,3,2,0.5,0.0,0.0,2.0,0.0,1.0,230.0
519,sarizag,3,2,0.43333333333333335,4.0,3.0,6.0,2.0,1.0,221.67000000000002
520,Chranium,3,2,0.0,4.0,5.0,6.0,2.0,0.0,284.17
521,DavidQP,3,2,0.3548387096774194,2.0,3.0,4.0,3.0,1.0,217.5
522,afceballosr,3,2,0.6041666666666667,1.0,3.0,5.0,2.0,1.0,209.17000000000002
523,lizzyt10h,3,2,0.9453125,2.0,1.0,5.0,2.0,7.0,175.00000000000003
524,NicolasPrr,3,2,0.0,3.0,4.0,3.0,2.0,0.0,216.67000000000002
525,jumcorredorro,3,2,0.15384615384615385,1.0,1.0,5.0,2.0,2.0,143.34
526,feartheGru,3,2,0.0,2.0,2.0,5.0,2.0,0.0,316.67
527,Danielsv9207,3,2,0.0,1.0,1.0,1.0,3.0,0.0,279.17
528,JhonEmmanuelTorres,3,2,0.0,5.0,4.0,5.0,2.0,0.0,329.17
529,lemartinp,3,3,0.0,0.0,0.0,4.0,1.0,1.0,201.66
530,juligarji,3,3,0.9576069730586371,4.0,4.0,5.0,3.0,14.0,91.24999999999997
531,nfmorenog,3,3,0.17307692307692313,0.0,2.0,3.0,1.0,2.0,199.99999999999997
532,AFelipeGA,3,3,0.0,4.0,3.0,5.0,2.0,0.0,180.82999999999998
533,mballeng91,3,3,0.0,2.0,6.0,6.0,2.0,1.0,233.32999999999998
534,dduartec,3,3,0.6285714285714286,1.0,5.0,4.0,1.0,2.0,0.0
535,srmedinac,3,3,0.0,1.0,2.0,4.0,1.0,1.0,217.5
536,wilson911013,3,3,0.0,0.0,1.0,2.0,1.0,1.0,242.5
537,wapiravaguens,3,3,0.2906976744186046,0.0,1.0,4.0,2.0,1.0,140.82999999999998
538,davidh17,3,3,0.359375,3.0,3.0,5.0,3.0,0.0,87.49999999999997
539,DianaNavarrete,3,3,0.0,0.0,1.0,5.0,2.0,0.0,204.99999999999997
540,jdmonroyg,3,3,0.0,0.0,1.0,4.0,1.0,1.0,320.83
541,jorge52an,3,3,0.678082191780822,4.0,4.0,5.0,2.0,3.0,145.82999999999998
542,jscastelblancoh,3,3,0.5471698113207547,0.0,0.0,3.0,2.0,9.0,69.15999999999997
543,juclopezso,3,3,0.0,1.0,3.0,3.0,2.0,1.0,221.65999999999997
544,afforeroc,3,3,0.0,1.0,4.0,3.0,2.0,0.0,230.0
545,dagofonseca,3,3,0.9282868525896414,0.0,0.0,2.0,2.0,2.0,143.32999999999998
546,lacardenasv,3,3,0.020408163265306145,1.0,2.0,5.0,4.0,11.0,69.15999999999997
547,oacastillol,3,3,0.10317460317460314,2.0,1.0,5.0,1.0,2.0,216.65999999999997
548,ncampuzano,3,3,0.4642857142857143,1.0,3.0,4.0,2.0,8.0,209.15999999999997
549,adriel62,3,3,0.0,1.0,3.0,5.0,2.0,2.0,129.99999999999997
550,capinzor,3,3,0.6774193548387097,0.0,0.0,2.0,2.0,1.0,213.32999999999998
551,ofnanezn,3,3,0.18571428571428572,0.0,1.0,6.0,2.0,1.0,200.82999999999998
552,macuestap,3,3,0.0,0.0,1.0,4.0,1.0,1.0,188.32999999999998
553,spenas,3,3,0.0,5.0,4.0,6.0,1.0,0.0,217.5
554,kgbayala528,3,3,0.11111111111111116,1.0,5.0,6.0,2.0,1.0,210.0
555,lgmoralesa,3,3,0.27118644067796616,2.0,2.0,4.0,3.0,3.0,65.0
556,ronaldsg20,3,3,0.5121951219512195,0.0,3.0,5.0,2.0,3.0,171.66
557,cccristanchoc,3,3,0.0,1.0,1.0,4.0,1.0,1.0,230.0
558,jmalvarezd,3,3,0.03703703703703709,3.0,3.0,5.0,2.0,2.0,134.99999999999997
559,smarquezo,3,3,0.0,0.0,0.0,2.0,0.0,1.0,221.65999999999997
560,sarizag,3,3,0.0,4.0,3.0,6.0,2.0,1.0,192.49999999999997
561,Chranium,3,3,0.0,4.0,5.0,6.0,2.0,0.0,225.82999999999998
562,DavidQP,3,3,0.5800000000000001,2.0,3.0,4.0,3.0,1.0,213.32999999999998
563,afceballosr,3,3,0.09090909090909094,1.0,3.0,5.0,2.0,3.0,230.0
564,lizzyt10h,3,3,0.33333333333333337,2.0,1.0,5.0,2.0,3.0,258.33
565,NicolasPrr,3,3,0.0,3.0,4.0,3.0,2.0,1.0,233.32999999999998
566,jumcorredorro,3,3,0.6464646464646464,1.0,1.0,5.0,2.0,3.0,24.159999999999968
567,feartheGru,3,3,0.0,2.0,2.0,5.0,2.0,0.0,320.83
568,Danielsv9207,3,3,0.0,1.0,1.0,1.0,3.0,0.0,320.83
569,JhonEmmanuelTorres,3,3,0.0,5.0,4.0,5.0,2.0,0.0,320.83
570,lemartinp,3,4,0.42307692307692313,0.0,0.0,4.0,1.0,1.0,193.33
571,juligarji,3,4,0.03495145631067964,4.0,4.0,5.0,3.0,7.0,126.66999999999999
572,nfmorenog,3,4,0.0,0.0,2.0,3.0,1.0,1.0,196.67
573,AFelipeGA,3,4,0.0,4.0,3.0,5.0,2.0,0.0,177.5
574,mballeng91,3,4,0.033333333333333326,2.0,6.0,6.0,2.0,1.0,230.0
575,dduartec,3,4,0.0,1.0,5.0,4.0,1.0,0.0,25.0
576,srmedinac,3,4,0.01754385964912286,1.0,2.0,4.0,1.0,1.0,214.17000000000002
577,wilson911013,3,4,1.0,0.0,1.0,2.0,1.0,1.0,239.17000000000002
578,wapiravaguens,3,4,0.303030303030303,0.0,1.0,4.0,2.0,1.0,137.5
579,davidh17,3,4,0.3936170212765957,3.0,3.0,5.0,3.0,0.0,109.16999999999999
580,DianaNavarrete,3,4,0.0,0.0,1.0,5.0,2.0,0.0,182.5
581,jdmonroyg,3,4,0.0,0.0,1.0,4.0,1.0,4.0,330.0
582,jorge52an,3,4,0.5498281786941581,4.0,4.0,5.0,2.0,8.0,167.5
583,jscastelblancoh,3,4,0.770949720670391,0.0,0.0,3.0,2.0,13.0,99.16999999999999
584,juclopezso,3,4,0.8333333333333334,1.0,3.0,3.0,2.0,1.0,218.32999999999998
585,afforeroc,3,4,0.0,1.0,4.0,3.0,2.0,0.0,226.67000000000002
586,dagofonseca,3,4,0.027237354085603127,0.0,0.0,2.0,2.0,1.0,102.5
587,lacardenasv,3,4,0.98,1.0,2.0,5.0,4.0,11.0,65.82999999999998
588,oacastillol,3,4,0.8342105263157895,2.0,1.0,5.0,1.0,2.0,209.17000000000002
589,ncampuzano,3,4,0.2828282828282829,1.0,3.0,4.0,2.0,4.0,213.32999999999998
590,adriel62,3,4,0.9964050329538646,1.0,3.0,5.0,2.0,9.0,139.17
591,capinzor,3,4,0.9676375404530745,0.0,0.0,2.0,2.0,1.0,122.5
592,ofnanezn,3,4,0.0,0.0,1.0,6.0,2.0,0.0,181.67
593,macuestap,3,4,0.05882352941176472,0.0,1.0,4.0,1.0,1.0,185.0
594,spenas,3,4,0.0,5.0,4.0,6.0,1.0,0.0,214.17000000000002
595,kgbayala528,3,4,0.0,1.0,5.0,6.0,2.0,0.0,78.33000000000001
596,lgmoralesa,3,4,0.20270270270270274,2.0,2.0,4.0,3.0,3.0,20.0
597,ronaldsg20,3,4,0.6168224299065421,0.0,3.0,5.0,2.0,2.0,172.5
598,cccristanchoc,3,4,0.3246753246753247,1.0,1.0,4.0,1.0,1.0,226.67000000000002
599,jmalvarezd,3,4,0.0,3.0,3.0,5.0,2.0,1.0,55.0
600,smarquezo,3,4,0.9130434782608696,0.0,0.0,2.0,0.0,1.0,218.32999999999998
601,sarizag,3,4,0.06451612903225812,4.0,3.0,6.0,2.0,1.0,201.67
602,Chranium,3,4,0.0,4.0,5.0,6.0,2.0,0.0,235.0
603,DavidQP,3,4,0.09090909090909094,2.0,3.0,4.0,3.0,1.0,205.82999999999998
604,afceballosr,3,4,0.543859649122807,1.0,3.0,5.0,2.0,0.0,226.67000000000002
605,lizzyt10h,3,4,0.7611940298507462,2.0,1.0,5.0,2.0,2.0,184.17
606,NicolasPrr,3,4,0.9705014749262537,3.0,4.0,3.0,2.0,3.0,221.67000000000002
607,jumcorredorro,3,4,0.4556213017751479,1.0,1.0,5.0,2.0,1.0,0.0
608,feartheGru,3,4,0.0,2.0,2.0,5.0,2.0,0.0,330.0
609,Danielsv9207,3,4,0.0,1.0,1.0,1.0,3.0,0.0,330.0
610,JhonEmmanuelTorres,3,4,0.0,5.0,4.0,5.0,2.0,0.0,330.0
611,lemartinp,3,5,0.0,0.0,0.0,4.0,1.0,1.0,57.5
612,juligarji,3,5,0.006993006993006978,4.0,4.0,5.0,3.0,2.0,0.0
