,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
61,cccristanchoc,2,0.6923076923076923,3,230.0,cccristanchoc,1.0,1.0,4.0,1.0
62,juclopezso,2,0.7,3,221.65999999999997,juclopezso,1.0,3.0,3.0,2.0
63,DavidQP,2,0.72,3,213.32999999999998,DavidQP,2.0,3.0,4.0,3.0
64,lgmoralesa,2,0.7258064516129032,3,65.0,lgmoralesa,2.0,2.0,4.0,3.0
65,ofnanezn,2,0.7272727272727273,3,200.82999999999998,ofnanezn,0.0,1.0,6.0,2.0
66,davidh17,2,0.7375,3,87.49999999999997,davidh17,3.0,3.0,5.0,3.0
67,nfmorenog,2,0.7469879518072289,3,199.99999999999997,nfmorenog,0.0,2.0,3.0,1.0
68,lemartinp,2,0.76,3,201.66,lemartinp,0.0,0.0,4.0,1.0
69,afceballosr,2,0.7611940298507462,3,230.0,afceballosr,1.0,3.0,5.0,2.0
70,NicolasPrr,2,0.7727272727272727,3,233.32999999999998,NicolasPrr,3.0,4.0,3.0,2.0
71,oacastillol,2,0.7748344370860927,3,216.65999999999997,oacastillol,2.0,1.0,5.0,1.0
72,ronaldsg20,2,0.7931034482758621,3,171.66,ronaldsg20,0.0,3.0,5.0,2.0
73,kgbayala528,2,0.8203125,3,210.0,kgbayala528,1.0,5.0,6.0,2.0
74,jumcorredorro,2,0.8205128205128205,3,24.159999999999968,jumcorredorro,1.0,1.0,5.0,2.0
75,jscastelblancoh,2,0.8387096774193549,3,69.15999999999997,jscastelblancoh,0.0,0.0,3.0,2.0
76,dduartec,2,0.8571428571428572,3,0.0,dduartec,1.0,5.0,4.0,1.0
77,srmedinac,2,0.8902439024390244,3,217.5,srmedinac,1.0,2.0,4.0,1.0
78,dagofonseca,2,0.9175627240143369,3,143.32999999999998,dagofonseca,0.0,0.0,2.0,2.0
79,jorge52an,2,0.9653179190751445,3,145.82999999999998,jorge52an,4.0,4.0,5.0,2.0
80,mballeng91,2,0.984375,3,233.32999999999998,mballeng91,2.0,6.0,6.0,2.0
81,juligarji,2,0.9924363057324841,3,91.24999999999997,juligarji,4.0,4.0,5.0,3.0
82,Danielsv9207,3,0.0,3,330.0,Danielsv9207,1.0,1.0,1.0,3.0
83,feartheGru,3,0.0,3,330.0,feartheGru,2.0,2.0,5.0,2.0
84,jdmonroyg,3,0.0,3,330.0,jdmonroyg,0.0,1.0,4.0,1.0
85,JhonEmmanuelTorres,3,0.0,3,330.0,JhonEmmanuelTorres,5.0,4.0,5.0,2.0
86,wapiravaguens,3,0.4,3,137.5,wapiravaguens,0.0,1.0,4.0,2.0
87,AFelipeGA,3,0.4,3,177.5,AFelipeGA,4.0,3.0,5.0,2.0
88,afforeroc,3,0.4285714285714286,3,226.67000000000002,afforeroc,1.0,4.0,3.0,2.0
89,Chranium,3,0.5,3,235.0,Chranium,4.0,5.0,6.0,2.0
90,lizzyt10h,3,0.5,3,184.17,lizzyt10h,2.0,1.0,5.0,2.0
91,DianaNavarrete,3,0.625,3,182.5,DianaNavarrete,0.0,1.0,5.0,2.0
92,ncampuzano,3,0.6526315789473685,3,213.32999999999998,ncampuzano,1.0,3.0,4.0,2.0
93,NicolasPrr,3,0.6570188133140376,3,221.67000000000002,NicolasPrr,3.0,4.0,3.0,2.0
94,macuestap,3,0.6666666666666667,3,185.0,macuestap,0.0,1.0,4.0,1.0
95,lgmoralesa,3,0.6796116504854368,3,20.0,lgmoralesa,2.0,2.0,4.0,3.0
96,sarizag,3,0.6944444444444444,3,201.67,sarizag,4.0,3.0,6.0,2.0
97,lacardenasv,3,0.7,3,65.82999999999998,lacardenasv,1.0,2.0,5.0,4.0
98,smarquezo,3,0.7142857142857143,3,218.32999999999998,smarquezo,0.0,0.0,2.0,0.0
99,jmalvarezd,3,0.7162162162162162,3,55.0,jmalvarezd,3.0,3.0,5.0,2.0
100,lemartinp,3,0.7352941176470589,3,193.33,lemartinp,0.0,0.0,4.0,1.0
101,nfmorenog,3,0.7529411764705882,3,196.67,nfmorenog,0.0,2.0,3.0,1.0
102,spenas,3,0.7538461538461538,3,214.17000000000002,spenas,5.0,4.0,6.0,1.0
103,afceballosr,3,0.7777777777777778,3,226.67000000000002,afceballosr,1.0,3.0,5.0,2.0
104,oacastillol,3,0.7848101265822784,3,209.17000000000002,oacastillol,2.0,1.0,5.0,1.0
105,davidh17,3,0.7850467289719626,3,109.16999999999999,davidh17,3.0,3.0,5.0,3.0
106,cccristanchoc,3,0.8095238095238095,3,226.67000000000002,cccristanchoc,1.0,1.0,4.0,1.0
107,juclopezso,3,0.8103448275862069,3,218.32999999999998,juclopezso,1.0,3.0,3.0,2.0
108,ofnanezn,3,0.813953488372093,3,181.67,ofnanezn,0.0,1.0,6.0,2.0
109,kgbayala528,3,0.8235294117647058,3,78.33000000000001,kgbayala528,1.0,5.0,6.0,2.0
110,srmedinac,3,0.8620689655172413,3,214.17000000000002,srmedinac,1.0,2.0,4.0,1.0
111,DavidQP,3,0.8636363636363636,3,205.82999999999998,DavidQP,2.0,3.0,4.0,3.0
112,dduartec,3,0.8642857142857143,3,25.0,dduartec,1.0,5.0,4.0,1.0
113,ronaldsg20,3,0.8760330578512396,3,172.5,ronaldsg20,0.0,3.0,5.0,2.0
114,wilson911013,3,0.8888888888888888,3,239.17000000000002,wilson911013,0.0,1.0,2.0,1.0
115,jumcorredorro,3,0.8932038834951457,3,0.0,jumcorredorro,1.0,1.0,5.0,2.0
116,dagofonseca,3,0.9125874125874126,3,102.5,dagofonseca,0.0,0.0,2.0,2.0
117,jscastelblancoh,3,0.9136363636363636,3,99.16999999999999,jscastelblancoh,0.0,0.0,3.0,2.0
118,jorge52an,3,0.9559228650137741,3,167.5,jorge52an,4.0,4.0,5.0,2.0
119,capinzor,3,0.9699194694457604,3,122.5,capinzor,0.0,0.0,2.0,2.0
120,adriel62,3,0.9768904690277588,3,139.17,adriel62,1.0,3.0,5.0,2.0
121,mballeng91,3,0.9814814814814815,3,230.0,mballeng91,2.0,6.0,6.0,2.0
122,juligarji,3,0.9884933477166487,3,126.66999999999999,juligarji,4.0,4.0,5.0,3.0
123,Danielsv9207,4,0.0,3,358.33,Danielsv9207,1.0,1.0,1.0,3.0
124,JhonEmmanuelTorres,4,0.0,3,358.33,JhonEmmanuelTorres,5.0,4.0,5.0,2.0
125,feartheGru,4,0.0,3,358.33,feartheGru,2.0,2.0,5.0,2.0
126,wapiravaguens,4,0.4,3,140.82999999999998,wapiravaguens,0.0,1.0,4.0,2.0
127,AFelipeGA,4,0.4,3,205.82999999999998,AFelipeGA,4.0,3.0,5.0,2.0
128,afforeroc,4,0.4285714285714286,3,259.15999999999997,afforeroc,1.0,4.0,3.0,2.0
129,Chranium,4,0.5,3,263.33,Chranium,4.0,5.0,6.0,2.0
130,smarquezo,4,0.5,3,246.65999999999997,smarquezo,0.0,0.0,2.0,0.0
131,lizzyt10h,4,0.5,3,212.49999999999997,lizzyt10h,2.0,1.0,5.0,2.0
132,jdmonroyg,4,0.6,3,358.33,jdmonroyg,0.0,1.0,4.0,1.0
133,DianaNavarrete,4,0.625,3,242.5,DianaNavarrete,0.0,1.0,5.0,2.0
134,dagofonseca,4,0.6500711237553343,3,93.32999999999998,dagofonseca,0.0,0.0,2.0,2.0
135,macuestap,4,0.6666666666666667,3,209.16,macuestap,0.0,1.0,4.0,1.0
136,jmalvarezd,4,0.75,3,139.99999999999997,jmalvarezd,3.0,3.0,5.0,2.0
137,nfmorenog,4,0.7529411764705882,3,237.5,nfmorenog,0.0,2.0,3.0,1.0
138,sarizag,4,0.7608695652173914,3,167.49999999999997,sarizag,4.0,3.0,6.0,2.0
139,lemartinp,4,0.7872340425531915,3,57.5,lemartinp,0.0,0.0,4.0,1.0
140,afceballosr,4,0.7954545454545454,3,93.32999999999998,afceballosr,1.0,3.0,5.0,2.0
141,spenas,4,0.8,3,242.5,spenas,5.0,4.0,6.0,1.0
142,lgmoralesa,4,0.8072289156626506,3,20.829999999999984,lgmoralesa,2.0,2.0,4.0,3.0
143,NicolasPrr,4,0.8164556962025317,3,237.5,NicolasPrr,3.0,4.0,3.0,2.0
144,davidh17,4,0.8175182481751825,3,283.33,davidh17,3.0,3.0,5.0,3.0
145,kgbayala528,4,0.8235294117647058,3,114.99999999999997,kgbayala528,1.0,5.0,6.0,2.0
146,ronaldsg20,4,0.8275862068965517,3,192.49999999999997,ronaldsg20,0.0,3.0,5.0,2.0
