,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage,count
54,20.0,33.34,40.84,12.5,-25.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,2,7.0
55,0.0,-4.170000000000002,-29.17,-62.5,37.5,1.0,stevenbustos,0.0,1.0,0.0,1.0,2,1.0
56,0.0,4.159999999999997,16.659999999999997,-37.5,50.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,2,1.0
57,20.0,0.0,107.49999999999997,62.5,25.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,2,1.0
58,0.0,4.159999999999997,116.66000000000001,62.5,50.0,1.0,wolfstain,3.0,3.0,6.0,0.0,2,3.0
59,0.0,-4.170000000000002,-4.170000000000002,0.0,0.0,1.0,miaborjaac,0.0,0.0,4.0,1.0,2,2.0
60,20.0,33.33,128.33,0.0,75.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,2,1.0
61,0.0,0.0,-25.0,0.0,-25.0,1.0,maikellPardo,4.0,4.0,4.0,2.0,2,0.0
62,0.0,0.0,37.5,0.0,37.5,1.0,Christian7sr,3.0,3.0,3.0,2.0,2,2.0
63,0.0,8.329999999999998,33.33000000000001,12.5,12.5,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,2,8.0
64,0.0,0.0,0.0,-25.0,25.0,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,2,2.0
65,20.0,20.83,90.83000000000001,12.5,37.5,1.0,aldiazve,0.0,3.0,6.0,3.0,2,4.0
66,40.0,29.17,131.67,37.5,25.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,2,1.0
67,-40.0,-45.83,-35.83000000000001,25.0,25.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,2,4.0
68,0.0,0.0,-75.0,-37.5,-37.5,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,2,0.0
69,0.0,-4.170000000000002,18.33,-40.0,62.5,1.0,anfmorenoso,0.0,2.0,5.0,2.0,2,2.0
70,0.0,4.170000000000002,41.67,0.0,37.5,1.0,nabautistal,0.0,0.0,3.0,1.0,2,1.0
71,0.0,0.0,25.0,0.0,25.0,1.0,crigar,1.0,0.0,2.0,4.0,2,0.0
72,0.0,-8.329999999999998,37.50000000000003,33.33,12.5,1.0,jiapulidoar,4.0,4.0,5.0,2.0,2,4.0
73,0.0,0.0,50.000000000000014,25.0,25.0,1.0,jsviveroj,1.0,3.0,4.0,2.0,2,3.0
74,80.0,33.33,175.82999999999998,25.0,37.5,1.0,daandradec,2.0,2.0,6.0,2.0,2,0.0
75,-20.0,-16.67,50.83000000000001,87.5,0.0,1.0,jcrubioa,0.0,0.0,5.0,2.0,2,1.0
76,0.0,-12.5,-75.0,-62.5,0.0,1.0,joahernandezca,1.0,1.0,0.0,0.0,2,1.0
77,0.0,0.0,12.5,0.0,12.5,1.0,ItsNavi,1.0,2.0,5.0,2.0,2,0.0
78,0.0,0.0,12.5,0.0,12.5,1.0,Zeugmax,1.0,3.0,5.0,2.0,2,0.0
79,0.0,0.0,0.0,0.0,0.0,1.0,kastellanos,5.0,5.0,5.0,3.0,2,0.0
80,0.0,0.0,0.0,0.0,0.0,1.0,JairVillalba,1.0,1.0,3.0,2.0,2,7.0
81,0.0,-8.329999999999998,79.16999999999999,50.0,37.5,2.0,jusherrerama,,,,,2,0.0
82,20.0,25.0,95.0,0.0,50.0,2.0,bdvegat,1.0,2.0,4.0,1.0,2,0.0
83,0.0,0.0,37.5,0.0,37.5,2.0,Phoenixest,0.0,1.0,3.0,1.0,2,0.0
84,0.0,33.33,108.33,25.0,50.0,2.0,HashNick,1.0,3.0,5.0,3.0,2,0.0
85,0.0,0.0,12.5,0.0,12.5,2.0,ccvacad,1.0,0.0,4.0,2.0,2,0.0
86,40.0,8.329999999999998,160.82999999999998,87.5,25.0,2.0,joaortizro,0.0,2.0,2.0,1.0,2,1.0
87,20.0,0.0,45.00000000000003,25.0,0.0,2.0,juasmartinezbel,0.0,5.0,5.0,2.0,2,1.0
88,0.0,-4.170000000000002,33.33,0.0,37.5,2.0,mdbelloc,1.0,3.0,2.0,2.0,2,1.0
89,0.0,12.5,37.500000000000014,0.0,25.0,2.0,diegocruz10,3.0,3.0,3.0,1.0,2,1.0
90,0.0,0.0,12.5,0.0,12.5,2.0,crarojasca,1.0,3.0,5.0,2.0,2,0.0
91,0.0,8.329999999999998,20.83,0.0,12.5,2.0,sagilm,0.0,0.0,3.0,1.0,2,1.0
92,40.0,-16.67,-39.16999999999999,-37.5,-25.0,2.0,idrojasf,1.0,1.0,4.0,4.0,2,2.0
93,40.0,29.17,219.17,75.0,75.0,2.0,raulramirezp,1.0,2.0,5.0,2.0,2,2.0
94,0.0,-12.5,125.0,87.5,50.0,2.0,fabianr23,5.0,4.0,5.0,2.0,2,2.0
95,0.0,0.0,81.25,43.75,37.5,2.0,jhriverasa,1.0,3.0,2.0,2.0,2,1.0
96,0.0,-25.0,-25.0,-25.0,25.0,2.0,jhonsd1996,3.0,4.0,4.0,2.0,2,1.0
97,80.0,29.17,184.17000000000002,87.5,-12.5,2.0,JuanitoAli,1.0,1.0,5.0,2.0,2,4.0
98,0.0,4.170000000000002,29.169999999999987,0.0,25.0,2.0,Davsatu313,0.0,3.0,5.0,2.0,2,2.0
99,40.0,16.659999999999997,169.16000000000003,87.5,25.0,2.0,cesarochoa2006,0.0,1.0,6.0,0.0,2,4.0
100,0.0,4.170000000000002,104.16999999999999,87.5,12.5,2.0,jjmuesesq,0.0,3.0,2.0,2.0,2,1.0
