,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity
64,macuestap,3,188.32999999999998,2,0.0,1.0,4.0,1.0,0.0784313725490196
65,spenas,3,217.5,2,5.0,4.0,6.0,1.0,0.03389830508474576
66,kgbayala528,3,210.0,2,1.0,5.0,6.0,2.0,0.13953488372093023
67,lgmoralesa,3,65.0,2,2.0,2.0,4.0,3.0,0.13953488372093023
68,ronaldsg20,3,171.66,2,0.0,3.0,5.0,2.0,0.08108108108108109
69,cccristanchoc,3,230.0,2,1.0,1.0,4.0,1.0,0.21052631578947367
70,jmalvarezd,3,134.99999999999997,2,3.0,3.0,5.0,2.0,0.2236842105263158
71,smarquezo,3,221.65999999999997,2,0.0,0.0,2.0,0.0,0.04878048780487805
72,sarizag,3,192.49999999999997,2,4.0,3.0,6.0,2.0,0.0967741935483871
73,Chranium,3,225.82999999999998,2,4.0,5.0,6.0,2.0,0.1
74,DavidQP,3,213.32999999999998,2,2.0,3.0,4.0,3.0,0.12857142857142856
75,afceballosr,3,230.0,2,1.0,3.0,5.0,2.0,0.136986301369863
76,lizzyt10h,3,258.33,2,2.0,1.0,5.0,2.0,0.09803921568627451
77,NicolasPrr,3,233.32999999999998,2,3.0,4.0,3.0,2.0,0.07272727272727272
78,jumcorredorro,3,24.159999999999968,2,1.0,1.0,5.0,2.0,0.1452991452991453
79,feartheGru,3,320.83,2,2.0,2.0,5.0,2.0,0.0
80,Danielsv9207,3,320.83,2,1.0,1.0,1.0,3.0,0.0
81,JhonEmmanuelTorres,3,320.83,2,5.0,4.0,5.0,2.0,0.0
82,lemartinp,3,193.33,3,0.0,0.0,4.0,1.0,0.1
83,juligarji,3,126.66999999999999,3,4.0,4.0,5.0,3.0,0.0094948727687049
84,nfmorenog,3,196.67,3,0.0,2.0,3.0,1.0,0.13953488372093023
85,AFelipeGA,3,177.5,3,4.0,3.0,5.0,2.0,0.010793054903801032
86,mballeng91,3,230.0,3,2.0,6.0,6.0,2.0,0.007352941176470588
87,dduartec,3,25.0,3,1.0,5.0,4.0,1.0,0.09289617486338798
88,srmedinac,3,214.17000000000002,3,1.0,2.0,4.0,1.0,0.055944055944055944
89,wilson911013,3,239.17000000000002,3,0.0,1.0,2.0,1.0,0.010309278350515464
90,wapiravaguens,3,137.5,3,0.0,1.0,4.0,2.0,0.0718562874251497
91,davidh17,3,109.16999999999999,3,3.0,3.0,5.0,3.0,0.16455696202531644
92,DianaNavarrete,3,182.5,3,0.0,1.0,5.0,2.0,0.030303030303030304
93,jdmonroyg,3,330.0,3,0.0,1.0,4.0,1.0,0.0
94,jorge52an,3,167.5,3,4.0,4.0,5.0,2.0,0.0440771349862259
95,jscastelblancoh,3,99.16999999999999,3,0.0,0.0,3.0,2.0,0.08366533864541832
96,juclopezso,3,218.32999999999998,3,1.0,3.0,3.0,2.0,0.05982905982905983
97,afforeroc,3,226.67000000000002,3,1.0,4.0,3.0,2.0,0.05154639175257732
98,dagofonseca,3,102.5,3,0.0,0.0,2.0,2.0,0.07975460122699386
99,lacardenasv,3,65.82999999999998,3,1.0,2.0,5.0,4.0,0.013270142180094787
100,oacastillol,3,209.17000000000002,3,2.0,1.0,5.0,1.0,0.07571801566579635
101,ncampuzano,3,213.32999999999998,3,1.0,3.0,4.0,2.0,0.06470588235294118
102,adriel62,3,139.17,3,1.0,3.0,5.0,2.0,0.005741437339140764
103,capinzor,3,122.5,3,0.0,0.0,2.0,2.0,0.01353461738677772
104,ofnanezn,3,181.67,3,0.0,1.0,6.0,2.0,0.05517241379310345
105,macuestap,3,185.0,3,0.0,1.0,4.0,1.0,0.07692307692307693
106,spenas,3,214.17000000000002,3,5.0,4.0,6.0,1.0,0.02631578947368421
107,kgbayala528,3,78.33000000000001,3,1.0,5.0,6.0,2.0,0.1092896174863388
108,lgmoralesa,3,20.0,3,2.0,2.0,4.0,3.0,0.1342281879194631
109,ronaldsg20,3,172.5,3,0.0,3.0,5.0,2.0,0.0918918918918919
110,cccristanchoc,3,226.67000000000002,3,1.0,1.0,4.0,1.0,0.11038961038961038
111,jmalvarezd,3,55.0,3,3.0,3.0,5.0,2.0,0.13740458015267176
112,smarquezo,3,218.32999999999998,3,0.0,0.0,2.0,0.0,0.05454545454545454
113,sarizag,3,201.67,3,4.0,3.0,6.0,2.0,0.09565217391304348
114,Chranium,3,235.0,3,4.0,5.0,6.0,2.0,0.030927835051546393
115,DavidQP,3,205.82999999999998,3,2.0,3.0,4.0,3.0,0.05303030303030303
116,afceballosr,3,226.67000000000002,3,1.0,3.0,5.0,2.0,0.13559322033898305
117,lizzyt10h,3,184.17,3,2.0,1.0,5.0,2.0,0.09523809523809523
118,NicolasPrr,3,221.67000000000002,3,3.0,4.0,3.0,2.0,0.048846675712347354
119,jumcorredorro,3,0.0,3,1.0,1.0,5.0,2.0,
120,feartheGru,3,330.0,3,2.0,2.0,5.0,2.0,0.0
121,Danielsv9207,3,330.0,3,1.0,1.0,1.0,3.0,0.0
122,JhonEmmanuelTorres,3,330.0,3,5.0,4.0,5.0,2.0,0.0
123,lemartinp,3,57.5,4,0.0,0.0,4.0,1.0,0.005436893203883495
124,juligarji,3,0.0,4,4.0,4.0,5.0,3.0,
125,nfmorenog,3,237.5,4,0.0,2.0,3.0,1.0,0.006931074316519061
126,AFelipeGA,3,205.82999999999998,4,4.0,3.0,5.0,2.0,0.02825361512791991
127,mballeng91,3,245.82999999999998,4,2.0,6.0,6.0,2.0,0.005131964809384164
128,dduartec,3,270.83,4,1.0,5.0,4.0,1.0,0.03048780487804878
129,srmedinac,3,242.5,4,1.0,2.0,4.0,1.0,0.00576036866359447
130,wilson911013,3,275.83,4,0.0,1.0,2.0,1.0,0.0003898635477582846
131,wapiravaguens,3,140.82999999999998,4,0.0,1.0,4.0,2.0,0.00683371298405467
132,davidh17,3,283.33,4,3.0,3.0,5.0,3.0,0.007601672367920942
133,DianaNavarrete,3,242.5,4,0.0,1.0,5.0,2.0,0.001558846453624318
134,jdmonroyg,3,358.33,4,0.0,1.0,4.0,1.0,0.004286827747466875
135,jorge52an,3,114.99999999999997,4,4.0,4.0,5.0,2.0,0.014079549454417459
136,jscastelblancoh,3,41.65999999999997,4,0.0,0.0,3.0,2.0,0.013668267454746953
137,juclopezso,3,206.66,4,1.0,3.0,3.0,2.0,0.0038714672861014324
138,afforeroc,3,259.15999999999997,4,1.0,4.0,3.0,2.0,0.001949317738791423
139,dagofonseca,3,93.32999999999998,4,0.0,0.0,2.0,2.0,0.013228459063282088
