,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity
0,jusherrerama,2,177.5,1,,,,,0.022598870056497175
1,bdvegat,2,260.0,1,1.0,2.0,4.0,1.0,0.018072289156626505
2,Phoenixest,2,185.82999999999998,1,0.0,1.0,3.0,1.0,0.017964071856287425
3,HashNick,2,260.0,1,1.0,3.0,5.0,3.0,0.02830188679245283
4,ccvacad,2,260.0,1,1.0,0.0,4.0,2.0,0.0
5,joaortizro,2,152.5,1,0.0,2.0,2.0,1.0,0.04142011834319527
6,juasmartinezbel,2,8.330000000000013,1,0.0,5.0,5.0,2.0,0.03488372093023256
7,mdbelloc,2,168.32999999999998,1,1.0,3.0,2.0,2.0,0.02830188679245283
8,diegocruz10,2,169.17000000000002,1,3.0,3.0,3.0,1.0,0.03783783783783784
9,crarojasca,2,215.0,1,1.0,3.0,5.0,2.0,0.0
10,sagilm,2,210.0,1,0.0,0.0,3.0,1.0,0.017964071856287425
11,idrojasf,2,52.5,1,1.0,1.0,4.0,4.0,0.011984021304926764
12,raulramirezp,2,260.0,1,1.0,2.0,5.0,2.0,0.035830618892508145
13,fabianr23,2,55.0,1,5.0,4.0,5.0,2.0,0.03902439024390244
14,jhriverasa,2,117.08000000000001,1,1.0,3.0,2.0,2.0,0.04419889502762431
15,jhonsd1996,2,160.0,1,3.0,4.0,4.0,2.0,0.017964071856287425
16,JuanitoAli,2,160.0,1,1.0,1.0,5.0,2.0,0.00862422997946612
17,Davsatu313,2,52.5,1,0.0,3.0,5.0,2.0,0.027777777777777776
18,cesarochoa2006,2,173.32999999999998,1,0.0,1.0,6.0,0.0,0.022321428571428572
19,jjmuesesq,2,177.5,1,0.0,3.0,2.0,2.0,0.01818181818181818
20,jucjimenezmo,2,247.5,1,0.0,0.0,3.0,2.0,0.017543859649122806
21,kancas,2,222.5,1,0.0,0.0,5.0,2.0,0.04020100502512563
22,Gantiva,2,144.17000000000002,1,2.0,4.0,3.0,2.0,0.046632124352331605
23,Dandarprox,2,154.57999999999998,1,0.0,1.0,4.0,2.0,0.023696682464454975
24,debeltranc,2,97.5,1,1.0,4.0,4.0,1.0,0.00546448087431694
25,ykchautai,2,98.33000000000001,1,4.0,4.0,4.0,1.0,0.034482758620689655
26,ligibrial,2,126.66999999999999,1,1.0,5.0,3.0,2.0,0.0079002079002079
27,davidrh195,2,260.0,1,3.0,3.0,5.0,1.0,0.01675977653631285
28,JulianaNino,2,205.82999999999998,1,1.0,1.0,3.0,1.0,0.02702702702702703
29,luegilca,2,130.83,1,0.0,1.0,6.0,2.0,0.03664921465968586
30,Yelis3,2,28.330000000000013,1,1.0,4.0,6.0,3.0,0.005795701521371649
31,begarzonf,2,102.5,1,2.0,3.0,4.0,2.0,0.012110726643598616
32,kmendezp96,2,74.16999999999999,1,1.0,5.0,6.0,1.0,0.022026431718061675
33,leguzman,2,106.66999999999999,1,0.0,2.0,5.0,2.0,0.03211009174311927
34,luealfonsoru,2,105.83000000000001,1,3.0,4.0,4.0,2.0,0.0375
35,oserasoa,2,205.82999999999998,1,4.0,3.0,3.0,1.0,0.041666666666666664
36,lsfinite,2,197.5,1,1.0,1.0,6.0,3.0,0.008256141763995167
37,xdanielsb,2,0.0,1,3.0,3.0,3.0,2.0,
38,CSebasGomez,2,260.0,1,3.0,3.0,5.0,2.0,0.0
39,jhcardenasa,2,260.0,1,4.0,4.0,5.0,3.0,0.0
40,tres-iqus,2,260.0,1,1.0,1.0,4.0,0.0,
41,jscontrerasp,2,260.0,1,1.0,1.0,4.0,0.0,0.03314917127071823
42,jusherrerama,2,168.33,2,,,,,0.00391304347826087
43,bdvegat,2,235.0,2,1.0,2.0,4.0,1.0,0.07272727272727272
44,Phoenixest,2,218.32999999999998,2,0.0,1.0,3.0,1.0,0.06
45,HashNick,2,221.67000000000002,2,1.0,3.0,5.0,3.0,0.09782608695652174
46,ccvacad,2,317.5,2,1.0,0.0,4.0,2.0,0.0
47,joaortizro,2,61.670000000000016,2,0.0,2.0,2.0,1.0,0.09836065573770492
48,juasmartinezbel,2,33.329999999999984,2,0.0,5.0,5.0,2.0,0.07386363636363637
49,mdbelloc,2,205.0,2,1.0,3.0,2.0,2.0,0.08602150537634409
50,diegocruz10,2,201.67,2,3.0,3.0,3.0,1.0,0.1
51,crarojasca,2,272.5,2,1.0,3.0,5.0,2.0,0.0
52,sagilm,2,259.17,2,0.0,0.0,3.0,1.0,0.13114754098360656
53,idrojasf,2,161.67,2,1.0,1.0,4.0,4.0,0.0031201248049922
54,raulramirezp,2,110.83000000000001,2,1.0,2.0,5.0,2.0,0.05235602094240838
55,fabianr23,2,0.0,2,5.0,4.0,5.0,2.0,
56,jhriverasa,2,105.83000000000001,2,1.0,3.0,2.0,2.0,0.10294117647058823
57,jhonsd1996,2,255.0,2,3.0,4.0,4.0,2.0,0.06
58,JuanitoAli,2,45.829999999999984,2,1.0,1.0,5.0,2.0,0.004666949512091642
59,Davsatu313,2,93.33000000000001,2,0.0,3.0,5.0,2.0,0.10810810810810811
60,cesarochoa2006,2,74.16999999999999,2,0.0,1.0,6.0,0.0,0.0821917808219178
61,jjmuesesq,2,143.33,2,0.0,3.0,2.0,2.0,0.0625
62,jucjimenezmo,2,230.82999999999998,2,0.0,0.0,3.0,2.0,0.05555555555555555
63,kancas,2,86.66999999999999,2,0.0,0.0,5.0,2.0,0.0975609756097561
64,Gantiva,2,196.67,2,2.0,4.0,3.0,2.0,0.13414634146341464
65,Dandarprox,2,194.17,2,0.0,1.0,4.0,2.0,0.06837606837606838
66,debeltranc,2,255.0,2,1.0,4.0,4.0,1.0,0.0
67,ykchautai,2,210.0,2,4.0,4.0,4.0,1.0,0.12698412698412698
68,ligibrial,2,221.67000000000002,2,1.0,5.0,3.0,2.0,0.006527415143603133
69,davidrh195,2,210.0,2,3.0,3.0,5.0,1.0,0.04838709677419355
70,JulianaNino,2,238.32999999999998,2,1.0,1.0,3.0,1.0,0.09333333333333334
71,luegilca,2,217.5,2,0.0,1.0,6.0,2.0,0.06578947368421052
72,Yelis3,2,118.33000000000001,2,1.0,4.0,6.0,3.0,0.003461005999077065
73,begarzonf,2,222.5,2,2.0,3.0,4.0,2.0,0.01910828025477707
74,kmendezp96,2,119.16999999999999,2,1.0,5.0,6.0,1.0,0.07142857142857142
75,leguzman,2,85.83000000000001,2,0.0,2.0,5.0,2.0,0.09523809523809523
76,luealfonsoru,2,192.5,2,3.0,4.0,4.0,2.0,0.06557377049180328
77,oserasoa,2,234.17000000000002,2,4.0,3.0,3.0,1.0,0.11904761904761904
78,lsfinite,2,230.0,2,1.0,1.0,6.0,3.0,0.003886275311924729
79,xdanielsb,2,242.5,2,3.0,3.0,3.0,2.0,0.04329004329004329
80,CSebasGomez,2,317.5,2,3.0,3.0,5.0,2.0,0.0
81,jhcardenasa,2,317.5,2,4.0,4.0,5.0,3.0,0.0
82,tres-iqus,2,317.5,2,1.0,1.0,4.0,0.0,
83,jscontrerasp,2,330.0,2,1.0,1.0,4.0,0.0,0.15151515151515152
84,jusherrerama,2,238.32999999999998,3,,,,,0.0038576939562794685
85,bdvegat,2,263.33,3,1.0,2.0,4.0,1.0,0.045454545454545456
