,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
48,wilson911013,3,242.5,2,0.0,1.0,2.0,1.0,0.0,wilson911013,0.0,0.0
49,wapiravaguens,3,140.82999999999998,2,0.0,1.0,4.0,2.0,0.075,wapiravaguens,0.4,0.3364722366212129
50,davidh17,3,87.49999999999997,2,3.0,3.0,5.0,3.0,0.14772727272727273,davidh17,0.7375,0.5524472984568102
51,DianaNavarrete,3,204.99999999999997,2,0.0,1.0,5.0,2.0,0.06976744186046512,DianaNavarrete,0.625,0.4855078157817008
52,jdmonroyg,3,320.83,2,0.0,1.0,4.0,1.0,0.0,jdmonroyg,0.0,0.0
53,jorge52an,3,145.82999999999998,2,4.0,4.0,5.0,2.0,0.023121387283236993,jorge52an,0.9653179190751445,0.6756540231124282
54,jscastelblancoh,3,69.15999999999997,2,0.0,0.0,3.0,2.0,0.09333333333333334,jscastelblancoh,0.8387096774193549,0.609064063349404
55,juclopezso,3,221.65999999999997,2,1.0,3.0,3.0,2.0,0.046511627906976744,juclopezso,0.7,0.5306282510621704
56,afforeroc,3,230.0,2,1.0,4.0,3.0,2.0,0.09523809523809523,afforeroc,0.4285714285714286,0.3566749439387324
57,dagofonseca,3,143.32999999999998,2,0.0,0.0,2.0,2.0,0.05860805860805861,dagofonseca,0.9175627240143369,0.6510549650746409
58,lacardenasv,3,69.15999999999997,2,1.0,2.0,5.0,4.0,0.19672131147540983,lacardenasv,0.6052631578947368,0.4732877044469254
59,oacastillol,3,216.65999999999997,2,2.0,1.0,5.0,1.0,0.10256410256410256,oacastillol,0.7748344370860927,0.5737071436959323
60,ncampuzano,3,209.15999999999997,2,1.0,3.0,4.0,2.0,0.19402985074626866,ncampuzano,0.4423076923076923,0.3662443949548831
61,adriel62,3,129.99999999999997,2,1.0,3.0,5.0,2.0,0.1791044776119403,adriel62,0.4423076923076923,0.3662443949548831
62,capinzor,3,213.32999999999998,2,0.0,0.0,2.0,2.0,0.14772727272727273,capinzor,0.3918918918918919,0.330663895025466
63,ofnanezn,3,200.82999999999998,2,0.0,1.0,6.0,2.0,0.10204081632653061,ofnanezn,0.7272727272727273,0.5465437063680699
64,macuestap,3,188.32999999999998,2,0.0,1.0,4.0,1.0,0.0784313725490196,macuestap,0.6764705882352942,0.5166907432183888
65,spenas,3,217.5,2,5.0,4.0,6.0,1.0,0.03389830508474576,spenas,0.4444444444444444,0.36772478012531734
66,kgbayala528,3,210.0,2,1.0,5.0,6.0,2.0,0.13953488372093023,kgbayala528,0.8203125,0.5990081896460834
67,lgmoralesa,3,65.0,2,2.0,2.0,4.0,3.0,0.13953488372093023,lgmoralesa,0.7258064516129032,0.5456944494168147
68,ronaldsg20,3,171.66,2,0.0,3.0,5.0,2.0,0.08108108108108109,ronaldsg20,0.7931034482758621,0.5839478885949534
69,cccristanchoc,3,230.0,2,1.0,1.0,4.0,1.0,0.06521739130434782,cccristanchoc,0.6923076923076923,0.5260930958967791
70,jmalvarezd,3,134.99999999999997,2,3.0,3.0,5.0,2.0,0.2236842105263158,jmalvarezd,0.6862745098039216,0.522521663529182
71,smarquezo,3,221.65999999999997,2,0.0,0.0,2.0,0.0,0.04878048780487805,smarquezo,0.6666666666666667,0.5108256237659907
