,Student,group,abs_perform_diff_best,phase,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,similarity,user2,novelty,ln_novelty
48,juasmartinezbel,2,33.329999999999984,2,0.0,5.0,5.0,2.0,0.07386363636363637,juasmartinezbel,0.7818181818181819,0.5776342934381009
49,mdbelloc,2,205.0,2,1.0,3.0,2.0,2.0,0.08602150537634409,mdbelloc,0.34375,0.2954642128938359
50,diegocruz10,2,201.67,2,3.0,3.0,3.0,1.0,0.09782608695652174,diegocruz10,0.34375,0.2954642128938359
51,crarojasca,2,272.5,2,1.0,3.0,5.0,2.0,0.0,crarojasca,0.0,0.0
52,sagilm,2,259.17,2,0.0,0.0,3.0,1.0,0.13114754098360656,sagilm,0.6341463414634146,0.49112055268665833
53,idrojasf,2,161.67,2,1.0,1.0,4.0,4.0,0.0031201248049922,idrojasf,0.958217270194986,0.672034503322386
54,raulramirezp,2,110.83000000000001,2,1.0,2.0,5.0,2.0,0.05235602094240838,raulramirezp,0.9324324324324325,0.6587795370557376
55,fabianr23,2,0.0,2,5.0,4.0,5.0,2.0,,fabianr23,0.8865979381443299,0.6347751743380381
56,jhriverasa,2,105.83000000000001,2,1.0,3.0,2.0,2.0,0.10294117647058823,jhriverasa,0.7741935483870968,0.5733459807473247
57,jhonsd1996,2,255.0,2,3.0,4.0,4.0,2.0,0.06,jhonsd1996,0.4,0.3364722366212129
58,JuanitoAli,2,45.829999999999984,2,1.0,1.0,5.0,2.0,0.004666949512091642,JuanitoAli,0.03562231759656653,0.035002519065285384
59,Davsatu313,2,93.33000000000001,2,0.0,3.0,5.0,2.0,0.1,Davsatu313,0.7560975609756098,0.5630940523117475
60,cesarochoa2006,2,74.16999999999999,2,0.0,1.0,6.0,0.0,0.0821917808219178,cesarochoa2006,0.6507936507936508,0.5012561727498399
61,jjmuesesq,2,143.33,2,0.0,3.0,2.0,2.0,0.0625,jjmuesesq,0.4,0.3364722366212129
62,jucjimenezmo,2,230.82999999999998,2,0.0,0.0,3.0,2.0,0.05555555555555555,jucjimenezmo,0.6666666666666667,0.5108256237659907
63,kancas,2,86.66999999999999,2,0.0,0.0,5.0,2.0,0.0975609756097561,kancas,0.625,0.4855078157817008
64,Gantiva,2,196.67,2,2.0,4.0,3.0,2.0,0.13414634146341464,Gantiva,0.8,0.5877866649021191
65,Dandarprox,2,194.17,2,0.0,1.0,4.0,2.0,0.07317073170731707,Dandarprox,0.8476190476190476,0.6138978089058048
66,debeltranc,2,255.0,2,1.0,4.0,4.0,1.0,0.0,debeltranc,0.9900990099009901,0.6881843912178163
67,ykchautai,2,210.0,2,4.0,4.0,4.0,1.0,0.12698412698412698,ykchautai,0.59375,0.46608972992459924
68,ligibrial,2,221.67000000000002,2,1.0,5.0,3.0,2.0,0.1935483870967742,ligibrial,0.7666666666666666,0.5690945318899664
69,davidrh195,2,210.0,2,3.0,3.0,5.0,1.0,0.04838709677419355,davidrh195,0.7777777777777778,0.5753641449035618
70,JulianaNino,2,238.32999999999998,2,1.0,1.0,3.0,1.0,0.09333333333333334,JulianaNino,0.7804878048780488,0.5768873744440833
71,luegilca,2,217.5,2,0.0,1.0,6.0,2.0,0.06578947368421052,luegilca,0.64,0.4946962418361071
72,Yelis3,2,118.33000000000001,2,1.0,4.0,6.0,3.0,0.04395604395604396,Yelis3,0.8857142857142857,0.6343066805370119
73,begarzonf,2,222.5,2,2.0,3.0,4.0,2.0,0.01910828025477707,begarzonf,0.9427966101694916,0.6641284866709095
74,kmendezp96,2,119.16999999999999,2,1.0,5.0,6.0,1.0,0.07142857142857142,kmendezp96,0.6708860759493671,0.5133540701193494
75,leguzman,2,85.83000000000001,2,0.0,2.0,5.0,2.0,0.09523809523809523,leguzman,0.5841584158415842,0.46005329839256753
76,luealfonsoru,2,192.5,2,3.0,4.0,4.0,2.0,0.06557377049180328,luealfonsoru,0.43023255813953487,0.3578370591189097
77,oserasoa,2,234.17000000000002,2,4.0,3.0,3.0,1.0,0.11904761904761904,oserasoa,0.5857142857142856,0.4610349592629751
78,lsfinite,2,230.0,2,1.0,1.0,6.0,3.0,0.003886275311924729,lsfinite,0.9755014326647564,0.680822256085323
79,xdanielsb,2,242.5,2,3.0,3.0,3.0,2.0,0.04329004329004329,xdanielsb,0.9324894514767933,0.6588090429790537
80,CSebasGomez,2,317.5,2,3.0,3.0,5.0,2.0,0.0,CSebasGomez,0.0,0.0
81,jhcardenasa,2,317.5,2,4.0,4.0,5.0,3.0,0.004795117698343505,jhcardenasa,0.023468057366362483,0.023196916415152386
82,tres-iqus,2,317.5,2,1.0,1.0,4.0,0.0,,,0.0,0.0
83,jscontrerasp,2,330.0,2,1.0,1.0,4.0,0.0,0.15151515151515152,jscontrerasp,0.7962962962962963,0.5857269319391084
84,jusherrerama,2,238.32999999999998,3,,,,,0.05102040816326531,jusherrerama,0.8085106382978724,0.5925036547802579
85,bdvegat,2,263.33,3,1.0,2.0,4.0,1.0,0.008547008547008548,bdvegat,0.9585093542546771,0.6721836503465409
86,Phoenixest,2,263.33,3,0.0,1.0,3.0,1.0,0.03614457831325301,Phoenixest,0.4,0.3364722366212129
87,HashNick,2,255.0,3,1.0,3.0,5.0,3.0,0.045081967213114756,HashNick,0.8450704225352113,0.6125174461598362
88,ccvacad,2,358.33,3,1.0,0.0,4.0,2.0,0.09219858156028368,ccvacad,0.7731958762886598,0.5727834983100701
89,joaortizro,2,53.329999999999984,3,0.0,2.0,2.0,1.0,0.06382978723404255,joaortizro,0.7272727272727273,0.5465437063680699
90,juasmartinezbel,2,65.0,3,0.0,5.0,5.0,2.0,0.06367041198501873,juasmartinezbel,0.8232931726907631,0.6006443015766404
91,mdbelloc,2,224.99999999999997,3,1.0,3.0,2.0,2.0,0.072,mdbelloc,0.34375,0.2954642128938359
92,diegocruz10,2,246.65999999999997,3,3.0,3.0,3.0,1.0,0.07692307692307693,diegocruz10,0.303030303030303,0.26469255422708216
93,crarojasca,2,313.33,3,1.0,3.0,5.0,2.0,0.0,crarojasca,0.0,0.0
94,sagilm,2,212.49999999999997,3,0.0,0.0,3.0,1.0,0.0851063829787234,sagilm,0.6326530612244898,0.490206336563255
95,idrojasf,2,202.49999999999997,3,1.0,1.0,4.0,4.0,0.00744047619047619,idrojasf,0.9539106145251397,0.6698328077048356
96,raulramirezp,2,134.99999999999997,3,1.0,2.0,5.0,2.0,0.04984423676012461,raulramirezp,0.9015873015873016,0.6426889592898163
97,fabianr23,2,0.0,3,5.0,4.0,5.0,2.0,,fabianr23,0.92018779342723,0.6524229903333766
98,jhriverasa,2,45.829999999999984,3,1.0,3.0,2.0,2.0,0.075,jhriverasa,0.8790322580645161,0.6307568879606636
99,jhonsd1996,2,204.99999999999997,3,3.0,4.0,4.0,2.0,0.03614457831325301,jhonsd1996,0.4,0.3364722366212129
100,JuanitoAli,2,103.32999999999998,3,1.0,1.0,5.0,2.0,0.0061450225317492835,JuanitoAli,0.057046979865771785,0.055479152320228584
101,Davsatu313,2,37.5,3,0.0,3.0,5.0,2.0,0.08035714285714286,Davsatu313,0.7959183673469388,0.5855165163675798
102,cesarochoa2006,2,81.65999999999997,3,0.0,1.0,6.0,0.0,0.051587301587301584,cesarochoa2006,0.8438818565400844,0.6118730539604589
103,jjmuesesq,2,279.15999999999997,3,0.0,3.0,2.0,2.0,0.05555555555555555,jjmuesesq,0.7777777777777778,0.5753641449035618
104,jucjimenezmo,2,258.0,3,0.0,0.0,3.0,2.0,0.07692307692307693,jucjimenezmo,0.4444444444444444,0.36772478012531734
105,kancas,2,127.49999999999997,3,0.0,0.0,5.0,2.0,0.07894736842105263,kancas,0.6666666666666667,0.5108256237659907
106,Gantiva,2,129.16,3,2.0,4.0,3.0,2.0,0.1282051282051282,Gantiva,0.8157894736842105,0.5965203448708737
107,Dandarprox,2,222.49999999999997,3,0.0,1.0,4.0,2.0,0.0784313725490196,Dandarprox,0.8378378378378378,0.6085897925318822
108,debeltranc,2,258.33,3,1.0,4.0,4.0,1.0,0.0,debeltranc,0.9904761904761905,0.6883739018072876
109,ykchautai,2,163.32999999999998,3,4.0,4.0,4.0,1.0,0.0967741935483871,ykchautai,0.6388888888888888,0.4940185054496094
110,ligibrial,2,237.5,3,1.0,5.0,3.0,2.0,0.125,ligibrial,0.7567567567567568,0.5634693572514127
111,davidrh195,2,250.82999999999998,3,3.0,3.0,5.0,1.0,0.030612244897959183,davidrh195,0.8095238095238095,0.5930637220029628
112,JulianaNino,2,234.15999999999997,3,1.0,1.0,3.0,1.0,0.08163265306122448,JulianaNino,0.7297297297297297,0.5479651707154475
113,luegilca,2,237.5,3,0.0,1.0,6.0,2.0,0.045871559633027525,luegilca,0.6708860759493671,0.5133540701193494
114,Yelis3,2,90.0,3,1.0,4.0,6.0,3.0,0.04281345565749235,Yelis3,0.8007662835249042,0.588212287381411
115,begarzonf,2,184.16,3,2.0,3.0,4.0,2.0,0.019880715705765408,begarzonf,0.9433962264150944,0.6644370746775139
116,kmendezp96,2,122.49999999999997,3,1.0,5.0,6.0,1.0,0.0736196319018405,kmendezp96,0.7425742574257426,0.5553634781968924
117,leguzman,2,208.32999999999998,3,0.0,2.0,5.0,2.0,0.09036144578313253,leguzman,0.6216216216216216,0.4834266495778762
118,luealfonsoru,2,212.49999999999997,3,3.0,4.0,4.0,2.0,0.05732484076433121,luealfonsoru,0.449438202247191,0.37117603462953225
119,oserasoa,2,234.15999999999997,3,4.0,3.0,3.0,1.0,0.08547008547008547,oserasoa,0.5857142857142856,0.4610349592629751
120,lsfinite,2,258.33,3,1.0,1.0,6.0,3.0,0.004266558309630231,lsfinite,0.975024975024975,0.6805810438553962
121,xdanielsb,2,283.33,3,3.0,3.0,3.0,2.0,0.03678929765886288,xdanielsb,0.9339622641509434,0.6595708850263411
122,CSebasGomez,2,358.33,3,3.0,3.0,5.0,2.0,0.0,CSebasGomez,0.0,0.0
123,jhcardenasa,2,358.33,3,4.0,4.0,5.0,3.0,0.06521739130434782,jhcardenasa,0.696969696969697,0.528844129268669
124,tres-iqus,2,358.33,3,1.0,1.0,4.0,0.0,,,0.0,0.0
125,jscontrerasp,2,358.33,3,1.0,1.0,4.0,0.0,0.11224489795918367,jscontrerasp,0.6578947368421053,0.5055485666651469
126,jusherrerama,2,250.82999999999998,4,,,,,0.045454545454545456,jusherrerama,0.7297297297297297,0.5479651707154475
127,bdvegat,2,263.33,4,1.0,2.0,4.0,1.0,0.01586582048957389,bdvegat,0.9586030407948216,0.6722314848382348
128,Phoenixest,2,263.33,4,0.0,1.0,3.0,1.0,0.016042780748663103,Phoenixest,0.5714285714285714,0.4519851237430572
129,HashNick,2,226.66,4,1.0,3.0,5.0,3.0,0.0621301775147929,HashNick,0.8347826086956522,0.6069260051128165
130,ccvacad,2,358.33,4,1.0,0.0,4.0,2.0,0.06640625,ccvacad,0.7927927927927928,0.5837746234121582
131,joaortizro,2,78.32999999999998,4,0.0,2.0,2.0,1.0,0.04081632653061224,joaortizro,0.7317073170731707,0.5491078103370076
132,juasmartinezbel,2,37.5,4,0.0,5.0,5.0,2.0,0.0807799442896936,juasmartinezbel,0.8301158301158301,0.6043792599955387
133,mdbelloc,2,229.16,4,1.0,3.0,2.0,2.0,0.05309734513274336,mdbelloc,0.303030303030303,0.26469255422708216
134,diegocruz10,2,251.65999999999997,4,3.0,3.0,3.0,1.0,0.05627705627705628,diegocruz10,0.303030303030303,0.26469255422708216
135,crarojasca,2,313.33,4,1.0,3.0,5.0,2.0,0.0,crarojasca,0.0,0.0
136,sagilm,2,208.32999999999998,4,0.0,0.0,3.0,1.0,0.04739336492890995,sagilm,0.4107142857142857,0.3440961617318722
137,idrojasf,2,204.99999999999997,4,1.0,1.0,4.0,4.0,0.014285714285714285,idrojasf,0.9533169533169533,0.669528929211737
138,raulramirezp,2,209.99999999999997,4,1.0,2.0,5.0,2.0,0.07657657657657657,raulramirezp,0.8958333333333334,0.6396584956089592
139,fabianr23,2,0.0,4,5.0,4.0,5.0,2.0,,fabianr23,0.9137931034482758,0.6490871907659148
140,jhriverasa,2,25.0,4,1.0,3.0,2.0,2.0,0.054474708171206226,jhriverasa,0.87,0.6259384308664954
141,jhonsd1996,2,200.82999999999998,4,3.0,4.0,4.0,2.0,0.016042780748663103,jhonsd1996,0.5714285714285714,0.4519851237430572
142,JuanitoAli,2,33.329999999999984,4,1.0,1.0,5.0,2.0,0.013460015835312747,JuanitoAli,0.9737514518002323,0.6799360221417102
143,Davsatu313,2,57.5,4,0.0,3.0,5.0,2.0,0.056338028169014086,Davsatu313,0.7959183673469388,0.5855165163675798
144,cesarochoa2006,2,74.37,4,0.0,1.0,6.0,0.0,0.06,cesarochoa2006,0.8373983739837398,0.6083506438998684
145,jjmuesesq,2,250.82999999999998,4,0.0,3.0,2.0,2.0,0.0392156862745098,jjmuesesq,0.8444444444444444,0.6121781180262782
146,jucjimenezmo,2,154.99999999999997,4,0.0,0.0,3.0,2.0,0.0641025641025641,jucjimenezmo,0.48051948051948057,0.39239302654081165
147,kancas,2,151.66,4,0.0,0.0,5.0,2.0,0.06074766355140187,kancas,0.6666666666666667,0.5108256237659907
148,Gantiva,2,120.82999999999998,4,2.0,4.0,3.0,2.0,0.0776255707762557,Gantiva,0.8170731707317074,0.5972270586812061
149,Dandarprox,2,144.99999999999997,4,0.0,1.0,4.0,2.0,0.06614785992217899,Dandarprox,0.8333333333333334,0.6061358035703156
150,debeltranc,2,258.33,4,1.0,4.0,4.0,1.0,0.0,debeltranc,0.9918367346938776,0.6890571953084201
151,ykchautai,2,159.16,4,4.0,4.0,4.0,1.0,0.04608294930875576,ykchautai,0.7719298245614035,0.5720692490067093
152,ligibrial,2,250.0,4,1.0,5.0,3.0,2.0,0.0779816513761468,ligibrial,0.7903225806451613,0.5823958162672426
153,davidrh195,2,250.82999999999998,4,3.0,3.0,5.0,1.0,0.01485148514851485,davidrh195,0.8064516129032258,0.5913644862500029
154,JulianaNino,2,234.15999999999997,4,1.0,1.0,3.0,1.0,0.04477611940298507,JulianaNino,0.6944444444444444,0.5273549257172012
155,luegilca,2,241.65999999999997,4,0.0,1.0,6.0,2.0,0.0380952380952381,luegilca,0.7049180327868853,0.5335170349680615
156,Yelis3,2,124.16,4,1.0,4.0,6.0,3.0,0.011837013430457547,Yelis3,0.8568228807718814,0.6188668985927532
157,begarzonf,2,143.32999999999998,4,2.0,3.0,4.0,2.0,0.024916943521594685,begarzonf,0.9437751004016064,0.6646320102519241
158,kmendezp96,2,151.66,4,1.0,5.0,6.0,1.0,0.014877362283876157,kmendezp96,0.08685064935064934,0.08328420159770741
159,leguzman,2,68.32999999999998,4,0.0,2.0,5.0,2.0,0.09090909090909091,leguzman,0.6222222222222222,0.4837969513780714
160,luealfonsoru,2,220.82999999999998,4,3.0,4.0,4.0,2.0,0.0546875,luealfonsoru,0.41758241758241754,0.348952897844822
161,oserasoa,2,242.5,4,4.0,3.0,3.0,1.0,0.07174887892376682,oserasoa,0.6049382716049383,0.4730852957831437
162,lsfinite,2,358.33,4,1.0,1.0,6.0,3.0,0.008391608391608392,lsfinite,0.9585218702865762,0.6721900409169407
163,xdanielsb,2,283.33,4,3.0,3.0,3.0,2.0,0.04012841091492777,xdanielsb,0.9475982532751092,0.6665969484658244
164,CSebasGomez,2,358.33,4,3.0,3.0,5.0,2.0,0.0,CSebasGomez,0.0,0.0
165,jhcardenasa,2,358.33,4,4.0,4.0,5.0,3.0,0.05102040816326531,jhcardenasa,0.7272727272727273,0.5465437063680699
166,tres-iqus,2,358.33,4,1.0,1.0,4.0,0.0,,,0.0,0.0
167,jscontrerasp,2,358.33,4,1.0,1.0,4.0,0.0,0.054455445544554455,jscontrerasp,0.6388888888888888,0.4940185054496094
