,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
64,nfmorenog,2,0.7469879518072289,3,199.99999999999997,nfmorenog,0.0,2.0,3.0,1.0
65,lemartinp,2,0.76,3,201.66,lemartinp,0.0,0.0,4.0,1.0
66,afceballosr,2,0.7611940298507462,3,230.0,afceballosr,1.0,3.0,5.0,2.0
67,NicolasPrr,2,0.7727272727272727,3,233.32999999999998,NicolasPrr,3.0,4.0,3.0,2.0
68,ronaldsg20,2,0.7931034482758621,3,171.66,ronaldsg20,0.0,3.0,5.0,2.0
69,kgbayala528,2,0.8203125,3,210.0,kgbayala528,1.0,5.0,6.0,2.0
70,jumcorredorro,2,0.8205128205128205,3,24.159999999999968,jumcorredorro,1.0,1.0,5.0,2.0
71,lacardenasv,2,0.8333333333333334,3,69.15999999999997,lacardenasv,1.0,2.0,5.0,4.0
72,jscastelblancoh,2,0.8387096774193549,3,69.15999999999997,jscastelblancoh,0.0,0.0,3.0,2.0
73,oacastillol,2,0.8461538461538461,3,216.65999999999997,oacastillol,2.0,1.0,5.0,1.0
74,wapiravaguens,2,0.847457627118644,3,140.82999999999998,wapiravaguens,0.0,1.0,4.0,2.0
75,dduartec,2,0.8571428571428572,3,0.0,dduartec,1.0,5.0,4.0,1.0
76,ncampuzano,2,0.8761061946902655,3,209.15999999999997,ncampuzano,1.0,3.0,4.0,2.0
77,dagofonseca,2,0.9175627240143369,3,143.32999999999998,dagofonseca,0.0,0.0,2.0,2.0
78,jorge52an,2,0.9611111111111111,3,145.82999999999998,jorge52an,4.0,4.0,5.0,2.0
79,juligarji,2,0.9715575620767495,3,91.24999999999997,juligarji,4.0,4.0,5.0,3.0
80,mballeng91,2,0.984375,3,233.32999999999998,mballeng91,2.0,6.0,6.0,2.0
81,AFelipeGA,2,0.9868359191349318,3,180.82999999999998,AFelipeGA,4.0,3.0,5.0,2.0
82,Danielsv9207,3,0.0,3,330.0,Danielsv9207,1.0,1.0,1.0,3.0
83,jdmonroyg,3,0.0,3,330.0,jdmonroyg,0.0,1.0,4.0,1.0
84,feartheGru,3,0.0,3,330.0,feartheGru,2.0,2.0,5.0,2.0
85,JhonEmmanuelTorres,3,0.0,3,330.0,JhonEmmanuelTorres,5.0,4.0,5.0,2.0
86,lacardenasv,3,0.11228716060745514,3,65.82999999999998,lacardenasv,1.0,2.0,5.0,4.0
87,oacastillol,3,0.2660550458715596,3,209.17000000000002,oacastillol,2.0,1.0,5.0,1.0
88,srmedinac,3,0.32352941176470584,3,214.17000000000002,srmedinac,1.0,2.0,4.0,1.0
89,ofnanezn,3,0.33333333333333337,3,181.67,ofnanezn,0.0,1.0,6.0,2.0
90,spenas,3,0.6521739130434783,3,214.17000000000002,spenas,5.0,4.0,6.0,1.0
91,NicolasPrr,3,0.6570188133140376,3,221.67000000000002,NicolasPrr,3.0,4.0,3.0,2.0
92,Chranium,3,0.6666666666666667,3,235.0,Chranium,4.0,5.0,6.0,2.0
93,afforeroc,3,0.6666666666666667,3,226.67000000000002,afforeroc,1.0,4.0,3.0,2.0
94,DianaNavarrete,3,0.6666666666666667,3,182.5,DianaNavarrete,0.0,1.0,5.0,2.0
95,lgmoralesa,3,0.6796116504854368,3,20.0,lgmoralesa,2.0,2.0,4.0,3.0
96,DavidQP,3,0.6799999999999999,3,205.82999999999998,DavidQP,2.0,3.0,4.0,3.0
97,macuestap,3,0.6857142857142857,3,185.0,macuestap,0.0,1.0,4.0,1.0
98,sarizag,3,0.6944444444444444,3,201.67,sarizag,4.0,3.0,6.0,2.0
99,smarquezo,3,0.7142857142857143,3,218.32999999999998,smarquezo,0.0,0.0,2.0,0.0
100,lemartinp,3,0.7352941176470589,3,193.33,lemartinp,0.0,0.0,4.0,1.0
101,juclopezso,3,0.7377049180327868,3,218.32999999999998,juclopezso,1.0,3.0,3.0,2.0
102,cccristanchoc,3,0.7454545454545455,3,226.67000000000002,cccristanchoc,1.0,1.0,4.0,1.0
103,jmalvarezd,3,0.7529411764705882,3,55.0,jmalvarezd,3.0,3.0,5.0,2.0
104,nfmorenog,3,0.7529411764705882,3,196.67,nfmorenog,0.0,2.0,3.0,1.0
105,afceballosr,3,0.7777777777777778,3,226.67000000000002,afceballosr,1.0,3.0,5.0,2.0
106,davidh17,3,0.794392523364486,3,109.16999999999999,davidh17,3.0,3.0,5.0,3.0
107,lizzyt10h,3,0.8125,3,184.17,lizzyt10h,2.0,1.0,5.0,2.0
108,kgbayala528,3,0.8235294117647058,3,78.33000000000001,kgbayala528,1.0,5.0,6.0,2.0
109,ncampuzano,3,0.85,3,213.32999999999998,ncampuzano,1.0,3.0,4.0,2.0
110,wapiravaguens,3,0.859504132231405,3,137.5,wapiravaguens,0.0,1.0,4.0,2.0
111,dduartec,3,0.8642857142857143,3,25.0,dduartec,1.0,5.0,4.0,1.0
112,ronaldsg20,3,0.8760330578512396,3,172.5,ronaldsg20,0.0,3.0,5.0,2.0
