,juligarji,lemartinp,nfmorenog,AFelipeGA,mballeng91,dduartec,srmedinac,wilson911013,wapiravaguens,davidh17,DianaNavarrete,jdmonroyg,jorge52an,jscastelblancoh,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,lgmoralesa,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,Chranium,DavidQP,afceballosr,lizzyt10h,NicolasPrr,jumcorredorro,feartheGru,Danielsv9207,JhonEmmanuelTorres
adriel62,0.003560126582278481,0.1956521739130435,0.1794871794871795,0.003825920612147298,0.004672897196261682,0.09848484848484848,0.06593406593406594,0.0,0.06896551724137931,0.2289156626506024,0.06818181818181818,0.0,0.028901734104046242,0.12162162162162163,0.06976744186046512,0.11904761904761904,0.06227106227106227,0.14285714285714285,0.11409395973154363,0.05982905982905983,0.0,0.1111111111111111,0.06862745098039216,0.14285714285714285,0.06896551724137931,0.11475409836065574,0.27692307692307694,0.07142857142857142,0.1625,0.22666666666666666,0.047619047619047616,0.15,0.07142857142857142,0.16393442622950818,0.1111111111111111,0.15217391304347827,0.1111111111111111,0.25396825396825395,0.0,0.0,0.0
capinzor,0.0019904458598726115,0.12903225806451613,0.07462686567164178,0.0019277108433734939,0.0,0.02459016393442623,0.06944444444444445,0.0,0.050505050505050504,0.07894736842105263,0.125,0.0,0.006369426751592357,0.08620689655172414,0.13043478260869565,0.22727272727272727,0.011235955056179775,0.07936507936507936,0.04285714285714286,0.050505050505050504,0.1111111111111111,0.0,0.048,0.08333333333333333,0.21739130434782608,0.09722222222222222,0.4383561643835616,0.06493506493506493,0.3068181818181818,0.2391304347826087,0.03125,0.10975609756097561,0.046875,0.30985915492957744,0.0967741935483871,0.10294117647058823,0.07894736842105263,0.20238095238095238,0.0,0.0,0.0
ofnanezn,0.006274509803921568,0.10526315789473684,0.06140350877192982,0.008530805687203791,0.012448132780082987,0.04819277108433735,0.575,0.0,0.0625,0.06504065040650407,0.0410958904109589,0.0,0.00975609756097561,0.15463917525773196,0.056338028169014086,0.08571428571428572,0.022435897435897436,0.11428571428571428,0.0427807486631016,0.0625,0.06862745098039216,0.048,0.0,0.08823529411764706,0.05263157894736842,0.06944444444444445,0.08602150537634409,0.0684931506849315,0.07766990291262135,0.057692307692307696,0.03333333333333333,0.07407407407407407,0.05,0.047058823529411764,0.053763440860215055,0.09230769230769231,0.09859154929577464,0.07777777777777778,0.0,0.0,0.0
macuestap,0.0031936127744510976,0.24,0.0967741935483871,0.0033849129593810446,0.0,0.03418803418803419,0.08955223880597014,0.0,0.08695652173913043,0.14705882352941177,0.15,0.0,0.006535947712418301,0.1568627450980392,0.15789473684210525,0.2777777777777778,0.015267175572519083,0.12280701754385964,0.07575757575757576,0.06382978723404255,0.14285714285714285,0.08333333333333333,0.08823529411764706,0.0,0.11764705882352941,0.037037037037037035,0.11320754716981132,0.16129032258064516,0.09523809523809523,0.0967741935483871,0.1111111111111111,0.3235294117647059,0.23529411764705882,0.06818181818181818,0.16666666666666666,0.11538461538461539,0.2,0.1702127659574468,0.0,0.0,0.0
spenas,0.0015904572564612327,0.12121212121212122,0.05714285714285714,0.000962000962000962,0.00510204081632653,0.016,0.05333333333333334,0.0,0.02912621359223301,0.06329113924050633,0.07407407407407407,0.0,0.0,0.06557377049180328,0.12,0.11538461538461539,0.014925373134328358,0.06060606060606061,0.027777777777777776,0.0392156862745098,0.06896551724137931,0.21739130434782608,0.05263157894736842,0.11764705882352941,0.0,0.04424778761061947,0.32653061224489793,0.10526315789473684,0.2711864406779661,0.05714285714285714,0.08333333333333333,0.0851063829787234,0.08,0.39473684210526316,0.05084745762711865,0.06060606060606061,0.10526315789473684,0.05172413793103448,0.0,0.0,0.0
kgbayala528,0.006599378881987578,0.05714285714285714,0.11278195488721804,0.013164080865068171,0.003703703703703704,0.09836065573770492,0.0625,0.0,0.046511627906976744,0.0896551724137931,0.03,0.0,0.012987012987012988,0.06923076923076923,0.04081632653061224,0.04040404040404041,0.045317220543806644,0.058823529411764705,0.09900990099009901,0.04046242774566474,0.11475409836065574,0.09722222222222222,0.06944444444444445,0.037037037037037035,0.04424778761061947,0.0,0.11029411764705882,0.05785123966942149,0.15,0.17647058823529413,0.01818181818181818,0.0703125,0.02727272727272727,0.10317460317460317,0.07246376811594203,0.07079646017699115,0.05785123966942149,0.1484375,0.0,0.0,0.0
lgmoralesa,0.0035559067562228367,0.23404255319148937,0.1875,0.002384358607534573,0.0,0.08823529411764706,0.08695652173913043,0.0,0.07627118644067797,0.20689655172413793,0.06382978723404255,0.0,0.028409090909090908,0.14666666666666667,0.06521739130434782,0.1111111111111111,0.06934306569343066,0.1518987341772152,0.09740259740259741,0.06722689075630252,0.27692307692307694,0.4383561643835616,0.08602150537634409,0.11320754716981132,0.32653061224489793,0.11029411764705882,0.0,0.06756756756756757,0.3023255813953488,0.20652173913043478,0.03278688524590164,0.1,0.04918032786885246,0.3235294117647059,0.08791208791208792,0.09090909090909091,0.09722222222222222,0.1951219512195122,0.0,0.0,0.0
ronaldsg20,0.003988831272437176,0.12903225806451613,0.1076923076923077,0.002894356005788712,0.015625,0.041666666666666664,0.06944444444444445,0.0,0.09473684210526316,0.09333333333333334,0.08,0.0,0.01935483870967742,0.10526315789473684,0.13043478260869565,0.17391304347826086,0.022727272727272728,0.11475409836065574,0.050359712230215826,0.07216494845360824,0.07142857142857142,0.06493506493506493,0.0684931506849315,0.16129032258064516,0.10526315789473684,0.05785123966942149,0.06756756756756757,0.0,0.06818181818181818,0.12048192771084337,0.046511627906976744,0.20689655172413793,0.06976744186046512,0.09090909090909091,0.06578947368421052,0.125,0.10909090909090909,0.0958904109589041,0.0,0.0,0.0
cccristanchoc,0.005917159763313609,0.15254237288135594,0.1797752808988764,0.00332541567695962,0.0,0.11267605633802817,0.0784313725490196,0.0,0.05384615384615385,0.13861386138613863,0.05263157894736842,0.0,0.010582010582010581,0.09090909090909091,0.05357142857142857,0.09090909090909091,0.04844290657439446,0.07446808510638298,0.11180124223602485,0.06201550387596899,0.1625,0.3068181818181818,0.07766990291262135,0.09523809523809523,0.2711864406779661,0.15,0.3023255813953488,0.06818181818181818,0.0,0.22093023255813954,0.03636363636363636,0.09333333333333334,0.05454545454545454,0.4482758620689655,0.10714285714285714,0.047619047619047616,0.12307692307692308,0.22666666666666666,0.0,0.0,0.0
jmalvarezd,0.005522682445759369,0.15517241379310345,0.25301204819277107,0.005238095238095238,0.004424778761061947,0.13768115942028986,0.05825242718446602,0.0,0.15254237288135594,0.16326530612244897,0.05357142857142857,0.0,0.03260869565217391,0.10465116279069768,0.05454545454545454,0.09259259259259259,0.08243727598566308,0.16279069767441862,0.1337579617834395,0.11475409836065574,0.22666666666666666,0.2391304347826087,0.057692307692307696,0.0967741935483871,0.05714285714285714,0.17647058823529413,0.20652173913043478,0.12048192771084337,0.22093023255813954,0.0,0.03571428571428571,0.12162162162162163,0.05357142857142857,0.14864864864864866,0.11904761904761904,0.08064516129032258,0.1044776119402985,0.25675675675675674,0.0,0.0,0.0
smarquezo,0.0008003201280512205,0.11764705882352941,0.037037037037037035,0.0009704027171276079,0.0,0.018691588785046728,0.03389830508474576,0.0,0.023255813953488372,0.03125,0.2222222222222222,0.0,0.0,0.044444444444444446,0.25,0.2222222222222222,0.007936507936507936,0.04,0.015625,0.023255813953488372,0.047619047619047616,0.03125,0.03333333333333333,0.1111111111111111,0.08333333333333333,0.01818181818181818,0.03278688524590164,0.046511627906976744,0.03636363636363636,0.03571428571428571,0.0,0.06451612903225806,0.2857142857142857,0.06060606060606061,0.023255813953488372,0.13333333333333333,0.09090909090909091,0.04878048780487805,0.0,0.0,0.0
sarizag,0.00477326968973747,0.1891891891891892,0.14084507042253522,0.005296100144439095,0.009900990099009901,0.05511811023622047,0.075,0.0,0.1188118811881188,0.1375,0.09090909090909091,0.0,0.024539877300613498,0.16129032258064516,0.09375,0.16129032258064516,0.025735294117647058,0.14925373134328357,0.10714285714285714,0.0970873786407767,0.15,0.10975609756097561,0.07407407407407407,0.3235294117647059,0.0851063829787234,0.0703125,0.1,0.20689655172413793,0.09333333333333334,0.12162162162162163,0.06451612903225806,0.0,0.13333333333333333,0.07142857142857142,0.1694915254237288,0.16666666666666666,0.16666666666666666,0.15254237288135594,0.0,0.0,0.0
Chranium,0.0012004801920768306,0.17647058823529413,0.05555555555555555,0.001941747572815534,0.00558659217877095,0.03773584905660377,0.05084745762711865,0.0,0.03488372093023256,0.046875,0.3333333333333333,0.0,0.007042253521126761,0.09090909090909091,0.2222222222222222,0.3333333333333333,0.011904761904761904,0.08163265306122448,0.0234375,0.03488372093023256,0.07142857142857142,0.046875,0.05,0.23529411764705882,0.08,0.02727272727272727,0.04918032786885246,0.06976744186046512,0.05454545454545454,0.05357142857142857,0.2857142857142857,0.13333333333333333,0.0,0.058823529411764705,0.046511627906976744,0.2,0.13636363636363635,0.07317073170731707,0.0,0.0,0.0
DavidQP,0.002776675922253074,0.12195121951219512,0.136986301369863,0.0019175455417066154,0.0,0.088,0.047619047619047616,0.0,0.036036036036036036,0.10714285714285714,0.05555555555555555,0.0,0.005952380952380952,0.05714285714285714,0.08823529411764706,0.08571428571428572,0.03308823529411765,0.06756756756756757,0.07534246575342465,0.036036036036036036,0.16393442622950818,0.30985915492957744,0.047058823529411764,0.06818181818181818,0.39473684210526316,0.10317460317460317,0.3235294117647059,0.09090909090909091,0.4482758620689655,0.14864864864864866,0.06060606060606061,0.07142857142857142,0.058823529411764705,0.0,0.0958904109589041,0.08163265306122448,0.1320754716981132,0.06756756756756757,0.0,0.0,0.0
afceballosr,0.003560126582278481,0.14583333333333334,0.08235294117647059,0.00430622009569378,0.009389671361502348,0.08208955223880597,0.05434782608695652,0.0,0.0782608695652174,0.14606741573033707,0.021739130434782608,0.0,0.011363636363636364,0.10666666666666667,0.045454545454545456,0.09302325581395349,0.03942652329749104,0.07317073170731707,0.12162162162162163,0.05084745762711865,0.1111111111111111,0.0967741935483871,0.053763440860215055,0.16666666666666666,0.05084745762711865,0.07246376811594203,0.08791208791208792,0.06578947368421052,0.10714285714285714,0.11904761904761904,0.023255813953488372,0.1694915254237288,0.046511627906976744,0.0958904109589041,0.0,0.09615384615384616,0.06666666666666667,0.23880597014925373,0.0,0.0,0.0
lizzyt10h,0.0023961661341853034,0.16666666666666666,0.08333333333333333,0.003875968992248062,0.010752688172043012,0.06306306306306306,0.07692307692307693,0.0,0.06593406593406594,0.10294117647058823,0.17647058823529413,0.0,0.027210884353741496,0.12,0.11764705882352941,0.25,0.02734375,0.10909090909090909,0.05303030303030303,0.05434782608695652,0.15217391304347827,0.10294117647058823,0.09230769230769231,0.11538461538461539,0.06060606060606061,0.07079646017699115,0.09090909090909091,0.125,0.047619047619047616,0.08064516129032258,0.13333333333333333,0.16666666666666666,0.2,0.08163265306122448,0.09615384615384616,0.0,0.23333333333333334,0.19148936170212766,0.0,0.0,0.0
NicolasPrr,0.0035885167464114833,0.16666666666666666,0.1076923076923077,0.002894356005788712,0.0,0.041666666666666664,0.1,0.0,0.07216494845360824,0.07894736842105263,0.125,0.0,0.01282051282051282,0.14545454545454545,0.13043478260869565,0.22727272727272727,0.022727272727272728,0.11475409836065574,0.050359712230215826,0.07216494845360824,0.1111111111111111,0.07894736842105263,0.09859154929577464,0.2,0.10526315789473684,0.05785123966942149,0.09722222222222222,0.10909090909090909,0.12307692307692308,0.1044776119402985,0.09090909090909091,0.16666666666666666,0.13636363636363635,0.1320754716981132,0.06666666666666667,0.23333333333333334,0.0,0.09259259259259259,0.0,0.0,0.0
jumcorredorro,0.005152596115735236,0.2,0.19736842105263158,0.006235011990407674,0.004694835680751174,0.14285714285714285,0.07865168539325842,0.0,0.08849557522123894,0.2625,0.06976744186046512,0.0,0.023121387283236993,0.10810810810810811,0.046511627906976744,0.12195121951219512,0.07434944237918216,0.11538461538461539,0.15384615384615385,0.07894736842105263,0.25396825396825395,0.20238095238095238,0.07777777777777778,0.1702127659574468,0.05172413793103448,0.1484375,0.1951219512195122,0.0958904109589041,0.22666666666666666,0.25675675675675674,0.04878048780487805,0.15254237288135594,0.07317073170731707,0.06756756756756757,0.23880597014925373,0.19148936170212766,0.09259259259259259,0.0,0.0,0.0,0.0
feartheGru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Danielsv9207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JhonEmmanuelTorres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
