,top1,lemartinp,nfmorenog,AFelipeGA,mballeng91,bottom3,srmedinac,bottom2,wapiravaguens,bottom1,DianaNavarrete,jdmonroyg,jorge52an,top3,juclopezso,afforeroc,dagofonseca,lacardenasv,oacastillol,ncampuzano,adriel62,capinzor,ofnanezn,macuestap,spenas,kgbayala528,top2,ronaldsg20,cccristanchoc,jmalvarezd,smarquezo,sarizag,bottom4,DavidQP,afceballosr,lizzyt10h,NicolasPrr,top4
adriel62,0.003469545104086353,0.17857142857142858,0.1794871794871795,0.1,0.0045871559633027525,0.09848484848484848,0.06666666666666667,0.0,0.07317073170731707,0.205607476635514,0.06818181818181818,0.0,0.018867924528301886,0.05853658536585366,0.1896551724137931,0.11904761904761904,0.060714285714285714,0.3,0.09876543209876543,0.34177215189873417,0.0,0.003180282250049692,0.0016025641025641025,0.0018028846153846155,0.0007995202878273036,0.004536489151873767,0.002783300198807157,0.0031936127744510976,0.001002004008016032,0.0027860696517412937,0.0004010427110487267,0.0028,0.00060156406657309,0.002404809619238477,0.002991623454327882,0.0016038492381716118,0.0016009605763458075,0.005741437339140764
capinzor,0.0049770290964777945,0.1282051282051282,0.16326530612244897,0.06451612903225806,0.004166666666666667,0.0915032679738562,0.04424778761061947,0.015625,0.047619047619047616,0.1984126984126984,0.045454545454545456,0.0,0.02064896755162242,0.05752212389380531,0.1518987341772152,0.078125,0.0777027027027027,0.29914529914529914,0.11731843575418995,0.3473684210526316,0.003180282250049692,0.0,0.003763440860215054,0.00322234156820623,0.008068854222700376,0.012396694214876033,0.017030335284725917,0.007450771687067589,0.002152852529601722,0.014369345396487493,0.0010787486515641855,0.006420545746388443,0.0016181229773462784,0.005920344456404736,0.009584664536741214,0.0032310177705977385,0.004291845493562232,0.01353461738677772
ofnanezn,0.0027226760015558148,0.1388888888888889,0.17543859649122806,0.1875,0.010416666666666666,0.043478260869565216,0.05970149253731343,0.058823529411764705,0.1875,0.061224489795918366,0.15789473684210525,0.0,0.013559322033898305,0.03225806451612903,0.1,0.15789473684210525,0.034220532319391636,0.06060606060606061,0.06993006993006994,0.06578947368421052,0.0016025641025641025,0.003763440860215054,0.0,0.08695652173913043,0.09803921568627451,0.10077519379844961,0.08139534883720931,0.13636363636363635,0.07317073170731707,0.15789473684210525,0.05555555555555555,0.14545454545454545,0.08333333333333333,0.18604651162790697,0.04,0.07142857142857142,0.10204081632653061,0.08403361344537816
macuestap,0.0031116297160637884,0.16666666666666666,0.0967741935483871,0.25,0.0,0.03418803418803419,0.09090909090909091,0.0,0.17647058823529413,0.09375,0.15,0.0,0.006711409395973154,0.06043956043956044,0.0975609756097561,0.2777777777777778,0.01486988847583643,0.06,0.04054054054054054,0.05128205128205128,0.0018028846153846155,0.00322234156820623,0.08695652173913043,0.0,0.11428571428571428,0.041666666666666664,0.08571428571428572,0.11538461538461539,0.17391304347826086,0.09230769230769231,0.10526315789473684,0.3142857142857143,0.2222222222222222,0.21428571428571427,0.1509433962264151,0.3333333333333333,0.1935483870967742,0.07692307692307693
spenas,0.0015497869043006587,0.09090909090909091,0.05714285714285714,0.08333333333333333,0.005,0.016,0.05405405405405406,0.0,0.08333333333333333,0.04716981132075472,0.07407407407407407,0.0,0.0,0.020512820512820513,0.0625,0.11538461538461539,0.014545454545454545,0.01818181818181818,0.02564102564102564,0.03529411764705882,0.0007995202878273036,0.008068854222700376,0.09803921568627451,0.11428571428571428,0.0,0.04838709677419355,0.24615384615384617,0.06779661016949153,0.10344827586206896,0.05555555555555555,0.08333333333333333,0.0851063829787234,0.08,0.11428571428571428,0.047619047619047616,0.1,0.10526315789473684,0.02631578947368421
kgbayala528,0.007924528301886792,0.08943089430894309,0.17647058823529413,0.027522935779816515,0.007017543859649123,0.0979381443298969,0.05806451612903226,0.00909090909090909,0.027522935779816515,0.09444444444444444,0.026785714285714284,0.0,0.02349869451697128,0.07142857142857142,0.096,0.036036036036036036,0.0641399416909621,0.10614525139664804,0.11818181818181818,0.0875,0.004536489151873767,0.012396694214876033,0.10077519379844961,0.041666666666666664,0.04838709677419355,0.0,0.09868421052631579,0.08759124087591241,0.04424778761061947,0.17391304347826086,0.01818181818181818,0.0703125,0.02727272727272727,0.08695652173913043,0.07042253521126761,0.043859649122807015,0.05785123966942149,0.1092896174863388
top2,0.0038284839203675345,0.14864864864864866,0.15625,0.06779661016949153,0.004219409282700422,0.07894736842105263,0.07476635514018691,0.0,0.05,0.1746031746031746,0.047619047619047616,0.0,0.017804154302670624,0.06306306306306306,0.1282051282051282,0.08196721311475409,0.06756756756756757,0.11194029850746269,0.10674157303370786,0.16822429906542055,0.002783300198807157,0.017030335284725917,0.08139534883720931,0.08571428571428572,0.24615384615384617,0.09868421052631579,0.0,0.05504587155963303,0.05,0.1743119266055046,0.02631578947368421,0.11956521739130435,0.039473684210526314,0.12345679012345678,0.102803738317757,0.08974358974358974,0.08045977011494253,0.1342281879194631
ronaldsg20,0.005793742757821553,0.08064516129032258,0.09411764705882353,0.07142857142857142,0.018518518518518517,0.07352941176470588,0.07777777777777778,0.047619047619047616,0.07142857142857142,0.0743801652892562,0.06666666666666667,0.0,0.025236593059936908,0.06341463414634146,0.09375,0.11627906976744186,0.04929577464788732,0.09166666666666666,0.05917159763313609,0.0594059405940594,0.0031936127744510976,0.007450771687067589,0.13636363636363635,0.11538461538461539,0.06779661016949153,0.08759124087591241,0.05504587155963303,0.0,0.035398230088495575,0.08783783783783784,0.01834862385321101,0.12396694214876033,0.027522935779816515,0.0782608695652174,0.06338028169014084,0.06306306306306306,0.049586776859504134,0.0918918918918919
cccristanchoc,0.0019470404984423676,0.09090909090909091,0.06896551724137931,0.2727272727272727,0.0,0.026785714285714284,0.06451612903225806,0.0,0.2727272727272727,0.05319148936170213,0.21428571428571427,0.0,0.00684931506849315,0.027472527472527472,0.11428571428571428,0.3076923076923077,0.011363636363636364,0.030927835051546393,0.027777777777777776,0.05555555555555555,0.001002004008016032,0.002152852529601722,0.07317073170731707,0.17391304347826086,0.10344827586206896,0.04424778761061947,0.05,0.035398230088495575,0.0,0.058823529411764705,0.1,0.09302325581395349,0.15,0.12903225806451613,0.03333333333333333,0.16,0.11764705882352941,0.03669724770642202
jmalvarezd,0.005378409527468306,0.14285714285714285,0.24705882352941178,0.07407407407407407,0.004310344827586207,0.1357142857142857,0.057692307692307696,0.017857142857142856,0.05454545454545454,0.1721311475409836,0.05172413793103448,0.0,0.018072289156626505,0.07441860465116279,0.16901408450704225,0.08928571428571429,0.08741258741258741,0.14285714285714285,0.21518987341772153,0.17647058823529413,0.0027860696517412937,0.014369345396487493,0.15789473684210525,0.09230769230769231,0.05555555555555555,0.17391304347826086,0.1743119266055046,0.08783783783783784,0.058823529411764705,0.0,0.03571428571428571,0.12162162162162163,0.05357142857142857,0.12698412698412698,0.11363636363636363,0.1016949152542373,0.1044776119402985,0.13740458015267176
smarquezo,0.0007797270955165692,0.07142857142857142,0.037037037037037035,0.3333333333333333,0.0,0.018691588785046728,0.034482758620689655,0.0,0.3333333333333333,0.02197802197802198,0.2222222222222222,0.0,0.0,0.0111731843575419,0.06451612903225806,0.2222222222222222,0.007722007722007722,0.021739130434782608,0.014285714285714285,0.029411764705882353,0.0004010427110487267,0.0010787486515641855,0.05555555555555555,0.10526315789473684,0.08333333333333333,0.01818181818181818,0.02631578947368421,0.01834862385321101,0.1,0.03571428571428571,0.0,0.16279069767441862,0.13043478260869565,0.1875,0.06557377049180328,0.18518518518518517,0.24242424242424243,0.05454545454545454
sarizag,0.004651162790697674,0.2222222222222222,0.14084507042253522,0.13793103448275862,0.009708737864077669,0.05511811023622047,0.0759493670886076,0.0,0.1,0.102803738317757,0.09090909090909091,0.0,0.016233766233766232,0.06735751295336788,0.11538461538461539,0.16129032258064516,0.02877697841726619,0.09174311926605505,0.07051282051282051,0.07954545454545454,0.0028,0.006420545746388443,0.14545454545454545,0.3142857142857143,0.0851063829787234,0.0703125,0.11956521739130435,0.12396694214876033,0.09302325581395349,0.12162162162162163,0.16279069767441862,0.0,0.125,0.23076923076923078,0.15384615384615385,0.2,0.1590909090909091,0.09565217391304348
bottom4,0.0011695906432748538,0.10714285714285714,0.05555555555555555,0.5,0.00546448087431694,0.03773584905660377,0.05172413793103448,0.0,0.5,0.03296703296703297,0.3333333333333333,0.0,0.003472222222222222,0.02247191011235955,0.0967741935483871,0.3333333333333333,0.011583011583011582,0.03260869565217391,0.02142857142857143,0.05970149253731343,0.00060156406657309,0.0016181229773462784,0.08333333333333333,0.2222222222222222,0.08,0.02727272727272727,0.039473684210526314,0.027522935779816515,0.15,0.05357142857142857,0.13043478260869565,0.125,0.0,0.15789473684210525,0.0425531914893617,0.23076923076923078,0.13636363636363635,0.030927835051546393
DavidQP,0.003500583430571762,0.2647058823529412,0.13114754098360656,0.23529411764705882,0.005128205128205128,0.05172413793103448,0.10606060606060606,0.05263157894736842,0.16666666666666666,0.09278350515463918,0.14285714285714285,0.0,0.013468013468013467,0.04864864864864865,0.12195121951219512,0.2631578947368421,0.033962264150943396,0.09183673469387756,0.05442176870748299,0.10666666666666667,0.002404809619238477,0.005920344456404736,0.18604651162790697,0.21428571428571427,0.11428571428571428,0.08695652173913043,0.12345679012345678,0.0782608695652174,0.12903225806451613,0.12698412698412698,0.1875,0.23076923076923078,0.15789473684210525,0.0,0.0784313725490196,0.06944444444444445,0.08860759493670886,0.09523809523809523
afceballosr,0.003464203233256351,0.1111111111111111,0.07865168539325842,0.043478260869565216,0.00904977375565611,0.07971014492753623,0.05263157894736842,0.021739130434782608,0.02127659574468085,0.10833333333333334,0.02,0.0,0.009230769230769232,0.07281553398058252,0.057971014492753624,0.0851063829787234,0.03793103448275862,0.072,0.06432748538011696,0.057692307692307696,0.002991623454327882,0.009584664536741214,0.04,0.1509433962264151,0.047619047619047616,0.07042253521126761,0.102803738317757,0.06338028169014084,0.03333333333333333,0.11363636363636363,0.06557377049180328,0.15384615384615385,0.0425531914893617,0.0784313725490196,0.0,0.21951219512195122,0.1346153846153846,0.13559322033898305
lizzyt10h,0.0027269185820023374,0.12121212121212122,0.10526315789473684,0.36363636363636365,0.005291005291005291,0.04504504504504504,0.09836065573770492,0.07692307692307693,0.25,0.0989010989010989,0.2,0.0,0.003401360544217687,0.044444444444444446,0.1111111111111111,0.5,0.019011406844106463,0.052083333333333336,0.04195804195804196,0.04054054054054054,0.0016038492381716118,0.0032310177705977385,0.07142857142857142,0.3333333333333333,0.1,0.043859649122807015,0.08974358974358974,0.06306306306306306,0.16,0.1016949152542373,0.18518518518518517,0.2,0.23076923076923078,0.06944444444444445,0.21951219512195122,0.0,0.19230769230769232,0.08163265306122448
NicolasPrr,0.0034965034965034965,0.12195121951219512,0.1076923076923077,0.2,0.0,0.041666666666666664,0.10144927536231885,0.0,0.14285714285714285,0.06862745098039216,0.125,0.0,0.006622516556291391,0.042328042328042326,0.11363636363636363,0.22727272727272727,0.02214022140221402,0.047619047619047616,0.046357615894039736,0.06172839506172839,0.0016009605763458075,0.004291845493562232,0.10204081632653061,0.1935483870967742,0.10526315789473684,0.05785123966942149,0.08045977011494253,0.049586776859504134,0.11764705882352941,0.1044776119402985,0.24242424242424243,0.1590909090909091,0.13636363636363635,0.08860759493670886,0.1346153846153846,0.19230769230769232,0.0,0.048846675712347354
top4,0.0094948727687049,0.1,0.13953488372093023,0.042105263157894736,0.007352941176470588,0.09289617486338798,0.055944055944055944,0.010309278350515464,0.03125,0.16455696202531644,0.030303030303030304,0.0,0.0440771349862259,0.08366533864541832,0.05982905982905983,0.05154639175257732,0.07975460122699386,0.2251655629139073,0.08878504672897196,0.11805555555555555,0.005741437339140764,0.01353461738677772,0.08403361344537816,0.07692307692307693,0.02631578947368421,0.1092896174863388,0.1342281879194631,0.0918918918918919,0.03669724770642202,0.13740458015267176,0.05454545454545454,0.09565217391304348,0.030927835051546393,0.09523809523809523,0.13559322033898305,0.08163265306122448,0.048846675712347354,0.0
