,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,1,0.42857142857142855,0.75,0.25,0.42857142857142855,0.375,0.75,0.375,0.07894736842105263,0.022222222222222223,0.15789473684210525,0.75,0.6,0.0
fall2016-blackironhack-analyst1001,0.42857142857142855,1,0.5714285714285714,0.46153846153846156,0.75,0.875,0.5714285714285714,0.875,0.18421052631578946,0.05185185185185185,0.3684210526315789,0.5714285714285714,0.7142857142857143,0.004830917874396135
fall2016-blackironhack-pptx,0.75,0.5714285714285714,1,0.23076923076923078,0.5714285714285714,0.5,1.0,0.5,0.10526315789473684,0.02962962962962963,0.21052631578947367,1.0,0.8,0.004901960784313725
fall2016-blackironhack-lennax,0.25,0.46153846153846156,0.23076923076923078,1,0.35714285714285715,0.42857142857142855,0.23076923076923078,0.5384615384615384,0.3157894736842105,0.072992700729927,0.47619047619047616,0.23076923076923078,0.3076923076923077,0.009478672985781991
fall2016-blackironhack-emmyzhang,0.42857142857142855,0.75,0.5714285714285714,0.35714285714285715,1,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.15384615384615385,0.04411764705882353,0.3,0.5714285714285714,0.7142857142857143,0.004830917874396135
fall2016-blackironhack-saul97,0.375,0.875,0.5,0.42857142857142855,0.6666666666666666,1,0.5,0.7777777777777778,0.1794871794871795,0.051470588235294115,0.35,0.5,0.625,0.00966183574879227
fall2016-blackironhack-thesoupgirl,0.75,0.5714285714285714,1.0,0.23076923076923078,0.5714285714285714,0.5,1,0.5,0.10526315789473684,0.02962962962962963,0.21052631578947367,1.0,0.8,0.004901960784313725
fall2016-blackironhack-kathy789,0.375,0.875,0.5,0.5384615384615384,0.6666666666666666,0.7777777777777778,0.5,1,0.21052631578947367,0.05925925925925926,0.42105263157894735,0.5,0.625,0.004807692307692308
fall2016-blackironhack-sauravn,0.07894736842105263,0.18421052631578946,0.10526315789473684,0.3157894736842105,0.15384615384615385,0.1794871794871795,0.10526315789473684,0.21052631578947367,1,0.21830985915492956,0.3902439024390244,0.10526315789473684,0.13157894736842105,0.10648148148148148
fall2016-blackironhack-nathanamorin,0.022222222222222223,0.05185185185185185,0.02962962962962963,0.072992700729927,0.04411764705882353,0.051470588235294115,0.02962962962962963,0.05925925925925926,0.21830985915492956,1,0.07692307692307693,0.02962962962962963,0.037037037037037035,0.5774647887323944
fall2016-blackironhack-chriscoraggio,0.15789473684210525,0.3684210526315789,0.21052631578947367,0.47619047619047616,0.3,0.35,0.21052631578947367,0.42105263157894735,0.3902439024390244,0.07692307692307693,1,0.21052631578947367,0.2631578947368421,0.009174311926605505
fall2016-blackironhack-rkp7,0.75,0.5714285714285714,1.0,0.23076923076923078,0.5714285714285714,0.5,1.0,0.5,0.10526315789473684,0.02962962962962963,0.21052631578947367,1,0.8,0.004901960784313725
fall2016-blackironhack-drewatk,0.6,0.7142857142857143,0.8,0.3076923076923077,0.7142857142857143,0.625,0.8,0.625,0.13157894736842105,0.037037037037037035,0.2631578947368421,0.8,1,0.004878048780487805
fall2016-blackironhack-danzheng,0.0,0.004830917874396135,0.004901960784313725,0.009478672985781991,0.004830917874396135,0.00966183574879227,0.004901960784313725,0.004807692307692308,0.10648148148148148,0.5774647887323944,0.009174311926605505,0.004901960784313725,0.004878048780487805,1
