,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,0.0,0.0,0.0,0.42857142857142855,0.6,0.3333333333333333,0.0,0.3333333333333333,0.08571428571428572,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-analyst1001,0.0,0.0,0.0,0.5555555555555556,0.5,0.14285714285714285,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-pptx,0.0,0.0,0.0,0.375,0.5,0.25,0.0,0.25,0.11428571428571428,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-lennax,0.0,0.0,0.0,0.2777777777777778,0.23529411764705882,0.0625,0.0,0.0625,0.18604651162790697,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-emmyzhang,0.0,0.0,0.0,0.5,0.625,0.125,0.0,0.125,0.19444444444444445,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-saul97,0.0,0.0,0.0,0.5,0.4444444444444444,0.125,0.0,0.125,0.22857142857142856,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-thesoupgirl,0.0,0.0,0.0,0.375,0.5,0.25,0.0,0.25,0.11428571428571428,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-kathy789,0.0,0.0,0.0,0.5,0.4444444444444444,0.125,0.0,0.125,0.22857142857142856,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-sauravn,0.0,0.0,0.0,0.04516129032258064,0.02564102564102564,0.0064516129032258064,0.0,0.0064516129032258064,0.21794871794871795,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-nathanamorin,0.0,0.0,0.0,0.05555555555555555,0.031496062992125984,0.007936507936507936,0.0,0.007936507936507936,0.22900763358778625,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-chriscoraggio,0.0,0.0,0.0,0.23809523809523808,0.2,0.05263157894736842,0.0,0.05263157894736842,0.35,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-rkp7,0.0,0.0,0.0,0.375,0.5,0.25,0.0,0.25,0.11428571428571428,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-drewatk,0.0,0.0,0.0,0.5,0.6666666666666666,0.2,0.0,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
fall2016-blackironhack-danzheng,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.18691588785046728,0.0,0.0,0.0,0.0,0.0
