,fall2016-blackironhack-cg505,fall2016-blackironhack-analyst1001,fall2016-blackironhack-pptx,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-saul97,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-kathy789,fall2016-blackironhack-sauravn,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-rkp7,fall2016-blackironhack-drewatk,fall2016-blackironhack-danzheng
fall2016-blackironhack-cg505,1,0.3333333333333333,0.5,0.1875,0.3,0.3,0.5,0.3,0.011278195488721804,0.01171875,0.14285714285714285,0.5,0.42857142857142855,0.0
fall2016-blackironhack-analyst1001,0.3333333333333333,1,0.6666666666666666,0.3157894736842105,0.7272727272727273,0.9,0.6666666666666666,0.9,0.03383458646616541,0.03515625,0.42857142857142855,0.6666666666666666,0.7777777777777778,0.0
fall2016-blackironhack-pptx,0.5,0.6666666666666666,1,0.15789473684210525,0.6,0.6,1.0,0.6,0.022556390977443608,0.0234375,0.2857142857142857,1.0,0.8571428571428571,0.0
fall2016-blackironhack-lennax,0.1875,0.3157894736842105,0.15789473684210525,1,0.23809523809523808,0.3684210526315789,0.15789473684210525,0.3684210526315789,0.056179775280898875,0.030303030303030304,0.48,0.15789473684210525,0.21052631578947367,0.0
fall2016-blackironhack-emmyzhang,0.3,0.7272727272727273,0.6,0.23809523809523808,1,0.6666666666666666,0.6,0.6666666666666666,0.033707865168539325,0.031007751937984496,0.4090909090909091,0.6,0.7,0.0
fall2016-blackironhack-saul97,0.3,0.9,0.6,0.3684210526315789,0.6666666666666666,1,0.6,1.0,0.03759398496240601,0.0390625,0.47619047619047616,0.6,0.7,0.0
fall2016-blackironhack-thesoupgirl,0.5,0.6666666666666666,1.0,0.15789473684210525,0.6,0.6,1,0.6,0.022556390977443608,0.0234375,0.2857142857142857,1.0,0.8571428571428571,0.0
fall2016-blackironhack-kathy789,0.3,0.9,0.6,0.3684210526315789,0.6666666666666666,1.0,0.6,1,0.03759398496240601,0.0390625,0.47619047619047616,0.6,0.7,0.0
fall2016-blackironhack-sauravn,0.011278195488721804,0.03383458646616541,0.022556390977443608,0.056179775280898875,0.033707865168539325,0.03759398496240601,0.022556390977443608,0.03759398496240601,1,0.7575757575757576,0.07894736842105263,0.022556390977443608,0.02631578947368421,0.3458646616541353
fall2016-blackironhack-nathanamorin,0.01171875,0.03515625,0.0234375,0.030303030303030304,0.031007751937984496,0.0390625,0.0234375,0.0390625,0.7575757575757576,1,0.04924242424242424,0.0234375,0.02734375,0.359375
fall2016-blackironhack-chriscoraggio,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.48,0.4090909090909091,0.47619047619047616,0.2857142857142857,0.47619047619047616,0.07894736842105263,0.04924242424242424,1,0.2857142857142857,0.3333333333333333,0.008928571428571428
fall2016-blackironhack-rkp7,0.5,0.6666666666666666,1.0,0.15789473684210525,0.6,0.6,1.0,0.6,0.022556390977443608,0.0234375,0.2857142857142857,1,0.8571428571428571,0.0
fall2016-blackironhack-drewatk,0.42857142857142855,0.7777777777777778,0.8571428571428571,0.21052631578947367,0.7,0.7,0.8571428571428571,0.7,0.02631578947368421,0.02734375,0.3333333333333333,0.8571428571428571,1,0.0
fall2016-blackironhack-danzheng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458646616541353,0.359375,0.008928571428571428,0.0,0.0,1
